gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,0.0,0.0,1.0,0.4019886798014044,13.0,9.0,0.5796280042990696,0.47421336934106895,5.0,3.0,2.0,0.0
-0.4,0.0,1.0,1.0,0.663137073293948,14.0,10.0,0.6558343207875413,0.4602639978169457,3.0,0.0,3.0,2.0
-0.4,0.0,2.0,0.0,0.3981582864988068,11.0,8.0,0.6233765417565117,0.3658386834119054,1.0,0.0,3.0,1.0
-0.4,0.0,3.0,1.0,0.09108423220481066,3.0,9.0,0.21205586140273056,0.49293729182002144,0.0,1.0,0.0,5.0
-0.4,0.0,4.0,0.0,0.8547056677900938,6.0,6.0,0.23052218765290697,0.3054707587131303,1.0,1.0,0.0,0.0
-0.4,0.0,5.0,0.0,0.52504595104006,10.0,14.0,0.36724495802776336,0.5560473078998523,3.0,0.0,0.0,7.0
-0.4,0.0,6.0,0.0,0.602183676444108,6.0,6.0,0.2522835933838787,0.3695240526390749,1.0,0.0,1.0,2.0
-0.4,0.0,7.0,0.0,0.2571694790506359,5.0,9.0,0.20621127603933856,0.3299776720018351,2.0,2.0,1.0,5.0
-0.4,0.0,8.0,0.0,0.28174524669187473,5.0,6.0,0.2517022097044003,0.19673747633738325,4.0,0.0,0.0,5.0
-0.4,0.0,9.0,1.0,0.2847033482472072,6.0,8.0,0.3726869896296801,0.3569634660423669,0.0,0.0,0.0,2.0
-0.4,0.0,10.0,1.0,0.6591846648156937,11.0,10.0,0.695544424580232,0.44994321826830286,0.0,0.0,4.0,3.0
-0.4,0.0,11.0,0.0,0.9295694205428779,14.0,12.0,0.6563177923002067,0.4686339304105039,1.0,0.0,3.0,2.0
-0.4,0.0,12.0,1.0,0.49475919311846317,11.0,8.0,0.5270862982517232,0.3959237922493857,3.0,0.0,0.0,0.0
-0.4,0.0,13.0,1.0,0.7480894421153216,8.0,9.0,0.4020060959338262,0.3685622661118017,3.0,1.0,0.0,3.0
-0.4,0.0,14.0,0.0,0.8160780739489296,9.0,8.0,0.3747706843588782,0.331123693524203,2.0,0.0,1.0,2.0
-0.4,0.0,15.0,1.0,0.28774935253479106,5.0,7.0,0.24436919865619547,0.2811598853095162,2.0,1.0,0.0,3.0
-0.4,0.0,16.0,0.0,0.1655733521579501,3.0,10.0,0.15139179527424027,0.3529681756382117,1.0,1.0,0.0,7.0
-0.4,0.0,17.0,0.0,0.08847348373709463,5.0,8.0,0.1831462665600435,0.367283793673169,0.0,0.0,0.0,3.0
-0.4,0.0,18.0,1.0,0.2607673691684519,7.0,8.0,0.3810851108496577,0.333714956001605,3.0,1.0,0.0,3.0
-0.4,0.0,19.0,0.0,0.8723526671925509,11.0,7.0,0.5563038466640349,0.31953709045021716,4.0,0.0,2.0,2.0
-0.4,0.0,20.0,1.0,0.3272749309908831,4.0,11.0,0.2092692021166169,0.5480060479163222,1.0,4.0,0.0,4.0
-0.4,0.0,21.0,1.0,0.9472048902031724,10.0,7.0,0.5533489111615982,0.2693456501429157,1.0,0.0,3.0,1.0
-0.4,0.0,22.0,1.0,0.4386234316321497,7.0,8.0,0.4415552544899077,0.37306755167953637,0.0,0.0,0.0,1.0
-0.4,0.0,23.0,1.0,0.5687448388214167,9.0,3.0,0.5321204963912989,0.11481910524281362,4.0,0.0,2.0,0.0
-0.4,0.0,24.0,0.0,0.5643266788296744,11.0,10.0,0.5233033053333185,0.44574116683011505,2.0,0.0,2.0,3.0
-0.4,0.0,25.0,0.0,0.1357165436697353,2.0,4.0,0.11718727307821762,0.12834601497704534,2.0,3.0,0.0,1.0
-0.4,0.0,26.0,0.0,0.8226329582043234,12.0,5.0,0.6238115977211935,0.19040738557765277,5.0,0.0,3.0,1.0
-0.4,0.0,27.0,1.0,0.9996107600839599,16.0,12.0,0.6305594720957344,0.5720956070891773,4.0,0.0,2.0,2.0
-0.4,0.0,28.0,0.0,0.35229101385648787,9.0,8.0,0.4901566531456243,0.38808056380599837,3.0,0.0,0.0,2.0
-0.4,0.0,29.0,0.0,0.8898588478796553,7.0,5.0,0.3275415487892132,0.2026276547597537,3.0,0.0,1.0,2.0
-0.4,0.0,30.0,1.0,0.7827368572875528,0.0,5.0,2.3748853459800664e-17,0.1915488576247409,0.0,3.0,0.0,2.0
-0.4,0.0,31.0,0.0,0.8805919678362739,9.0,7.0,0.3867747663003804,0.31500971490281515,3.0,0.0,2.0,3.0
-0.4,0.0,32.0,0.0,0.6399892870837679,11.0,8.0,0.5643453709106514,0.38129604529863526,3.0,0.0,1.0,1.0
-0.4,0.0,33.0,1.0,0.3030832313698323,5.0,8.0,0.25478165058073904,0.3112253402362338,1.0,0.0,1.0,5.0
-0.4,0.0,34.0,1.0,0.5825384254241712,11.0,10.0,0.5859317705411133,0.5196715718638967,3.0,0.0,0.0,2.0
-0.4,0.0,35.0,0.0,0.1008084335549454,6.0,8.0,0.38748148612769456,0.3744703163819753,4.0,1.0,0.0,5.0
-0.4,0.0,36.0,1.0,0.7392789064371185,14.0,12.0,0.6069851673564151,0.5449382273275557,3.0,0.0,3.0,4.0
-0.4,0.0,37.0,0.0,0.8290119952202885,9.0,4.0,0.42452886212423785,0.19389272685429648,4.0,0.0,2.0,1.0
-0.4,0.0,38.0,0.0,0.5710710231848575,11.0,7.0,0.4921029321730972,0.3812569963350964,2.0,0.0,2.0,0.0
-0.4,0.0,39.0,1.0,0.9353136583340831,16.0,12.0,0.8063428251602363,0.4938565594031548,2.0,0.0,4.0,2.0
-0.4,0.0,40.0,0.0,0.06391092329248982,3.0,9.0,0.13563417874479505,0.46644169721389944,3.0,3.0,0.0,6.0
-0.4,0.0,41.0,1.0,0.9585475021681321,14.0,10.0,0.7444880555386355,0.4453279976949993,2.0,0.0,2.0,0.0
-0.4,0.0,42.0,0.0,0.4468418687364274,15.0,8.0,0.8131217013515859,0.40538799080569327,5.0,0.0,3.0,1.0
-0.4,0.0,43.0,1.0,0.06817124317977019,8.0,10.0,0.4818384073841059,0.41936898411534734,4.0,3.0,0.0,3.0
-0.4,0.0,44.0,0.0,0.0631458057943376,3.0,5.0,0.19794654589001875,0.23779473261329462,3.0,0.0,0.0,5.0
-0.4,0.0,45.0,1.0,0.6729666678750986,11.0,8.0,0.5560377736330777,0.33710610086521736,4.0,0.0,0.0,1.0
-0.4,0.0,46.0,0.0,0.9137138832976329,12.0,6.0,0.6330829874216599,0.31298562545337916,3.0,0.0,3.0,0.0
-0.4,0.0,47.0,1.0,0.8549556775175099,10.0,6.0,0.5205184383586866,0.2861581861519016,4.0,0.0,0.0,0.0
-0.4,0.0,48.0,0.0,0.2363635841494408,7.0,6.0,0.39130356841165587,0.2800042761649031,2.0,1.0,1.0,1.0
-0.4,0.0,49.0,0.0,0.8578647515235608,13.0,6.0,0.5940889391175315,0.28626322041409863,5.0,0.0,2.0,0.0
-0.4,0.0,50.0,1.0,0.22728181351822607,3.0,7.0,0.14670549561206936,0.26496314319116293,1.0,1.0,0.0,4.0
-0.4,0.0,51.0,0.0,0.8662766362063282,4.0,4.0,0.12658787897880042,0.20061287932870617,1.0,0.0,0.0,1.0
-0.4,0.0,52.0,0.0,0.12710746981352417,5.0,8.0,0.26078692834126543,0.338416194079045,2.0,2.0,0.0,3.0
-0.4,0.0,53.0,0.0,0.7955799406820012,10.0,6.0,0.4241132547693883,0.2928518807169753,3.0,0.0,1.0,0.0
-0.4,0.0,54.0,1.0,0.03364812665773709,2.0,8.0,0.14135004373265503,0.27975107465787624,1.0,2.0,0.0,5.0
-0.4,0.0,55.0,0.0,0.12184495884693713,1.0,3.0,0.05458843979355828,0.0950872550280991,0.0,0.0,0.0,2.0
-0.4,0.0,56.0,1.0,0.7384352443584304,11.0,4.0,0.6387766871738516,0.18464488563153422,5.0,0.0,3.0,1.0
-0.4,0.0,57.0,0.0,0.13046588465890507,5.0,6.0,0.28503669984568125,0.34722233513188183,1.0,0.0,0.0,2.0
-0.4,0.0,58.0,0.0,0.10344291207257794,5.0,8.0,0.2975763007006068,0.3649866595358389,2.0,0.0,0.0,5.0
-0.4,0.0,59.0,0.0,0.2769160625529419,5.0,8.0,0.21688346192055186,0.3803497720159602,1.0,0.0,1.0,5.0
-0.4,0.0,60.0,1.0,0.3671412438189823,7.0,10.0,0.33417591466290564,0.41099796385613574,2.0,1.0,2.0,6.0
-0.4,0.0,61.0,1.0,0.5914318251483677,11.0,9.0,0.5289360902229219,0.4029510975154454,1.0,0.0,1.0,0.0
-0.4,0.0,62.0,1.0,0.9874539514406356,10.0,8.0,0.5073363420595003,0.363364341643102,2.0,0.0,1.0,1.0
-0.4,0.0,63.0,0.0,0.38062985033167074,15.0,8.0,0.7529831053553796,0.36087131393081634,5.0,0.0,4.0,2.0
-0.4,0.0,64.0,1.0,0.5503927440423589,8.0,6.0,0.3429408431478272,0.31426802575362955,3.0,0.0,2.0,3.0
-0.4,0.0,65.0,1.0,0.5813363300580588,9.0,7.0,0.5173747668393752,0.38044020778365145,2.0,0.0,2.0,2.0
-0.4,0.0,66.0,0.0,0.2333642901745986,4.0,9.0,0.21920529424378554,0.33711192308459936,2.0,2.0,0.0,5.0
-0.4,0.0,67.0,0.0,0.9606256812013904,13.0,14.0,0.6569394062842192,0.6377230447739239,1.0,0.0,0.0,2.0
-0.4,0.0,68.0,1.0,0.22273677770310463,3.0,10.0,0.15135958523576132,0.45966130633399427,0.0,2.0,0.0,5.0
-0.4,0.0,69.0,1.0,0.18815420693833007,4.0,13.0,0.2501105745518198,0.720970702115847,1.0,1.0,0.0,9.0
-0.4,0.0,70.0,1.0,0.4928927196660744,1.0,6.0,0.03912060245852211,0.22277011358424376,1.0,2.0,0.0,4.0
-0.4,0.0,71.0,0.0,0.32586707063840004,7.0,7.0,0.4102600824261603,0.3032769099996649,3.0,0.0,1.0,4.0
-0.4,0.0,72.0,1.0,0.3054571996565536,7.0,8.0,0.3477446051301624,0.35016369582866064,0.0,1.0,0.0,0.0
-0.4,0.0,73.0,0.0,0.40114643684886053,11.0,12.0,0.5111725003283053,0.6017426675019429,2.0,0.0,0.0,3.0
-0.4,0.0,74.0,0.0,0.5635083693451074,6.0,8.0,0.415595340255767,0.40849245066516343,0.0,0.0,1.0,3.0
-0.4,0.0,75.0,0.0,0.7876400500086032,11.0,10.0,0.5246956172081877,0.44110359665572657,2.0,0.0,2.0,3.0
-0.4,0.0,76.0,1.0,0.253606840689527,2.0,8.0,0.07554986937976026,0.31568056230800157,0.0,1.0,0.0,5.0
-0.4,0.0,77.0,1.0,0.6962203178386291,11.0,8.0,0.37434974035140317,0.2705340230430993,4.0,0.0,1.0,2.0
-0.4,0.0,78.0,1.0,0.9149560775714933,8.0,7.0,0.4695128368657075,0.25965216177915856,2.0,0.0,0.0,1.0
-0.4,0.0,79.0,1.0,0.4074599623931019,1.0,4.0,0.048914307357246826,0.185665019194805,1.0,1.0,0.0,3.0
-0.4,0.0,80.0,1.0,0.43672851441120464,1.0,4.0,0.05206696306423426,0.17358768223324536,1.0,3.0,0.0,1.0
-0.4,0.0,81.0,1.0,0.18813523111622532,2.0,8.0,0.08763439161488952,0.3874682171798266,0.0,3.0,0.0,3.0
-0.4,0.0,82.0,0.0,0.4347289432229189,14.0,12.0,0.7712600321279836,0.6508828975222037,2.0,0.0,4.0,4.0
-0.4,0.0,83.0,1.0,0.35587642667930286,13.0,12.0,0.7767665090717195,0.6609298630110211,2.0,2.0,3.0,2.0
-0.4,0.0,84.0,0.0,0.8256536598137904,11.0,6.0,0.6614082126229119,0.33878360423121456,2.0,0.0,4.0,1.0
-0.4,0.0,85.0,0.0,0.45826248764832256,4.0,7.0,0.20257639071073708,0.3058876734288012,2.0,0.0,0.0,5.0
-0.4,0.0,86.0,0.0,0.34383311053622334,14.0,8.0,0.7137211743172117,0.3748465600813969,7.0,0.0,0.0,1.0
-0.4,0.0,87.0,1.0,0.14450815087374402,3.0,6.0,0.19522361005338576,0.23721213406518654,1.0,1.0,0.0,3.0
-0.4,0.0,88.0,1.0,0.9687118592607916,9.0,6.0,0.43965411609219057,0.3153305596959351,1.0,0.0,3.0,1.0
-0.4,0.0,89.0,1.0,0.8816400369138069,12.0,12.0,0.5527926419633657,0.5411482588968145,2.0,0.0,0.0,2.0
-0.4,0.0,90.0,1.0,0.03857951700566831,5.0,5.0,0.3275223365885644,0.1185788766111607,3.0,1.0,0.0,2.0
-0.4,0.0,91.0,0.0,0.3702914831504748,10.0,6.0,0.5912455475389757,0.19188091723344583,4.0,2.0,4.0,2.0
-0.4,0.0,92.0,0.0,0.026753346434360004,5.0,11.0,0.38241044808837,0.4956593004035934,0.0,2.0,0.0,4.0
-0.4,0.0,93.0,1.0,0.5291883764064942,4.0,1.0,0.24955503154827352,0.03879559233972644,3.0,0.0,1.0,1.0
-0.4,0.0,94.0,1.0,0.7139334970533021,10.0,5.0,0.4551943476464219,0.19570044747943735,5.0,0.0,3.0,3.0
-0.4,0.0,95.0,1.0,0.9128919081769362,7.0,7.0,0.2538136453122486,0.2653654977428433,3.0,0.0,1.0,4.0
-0.4,0.0,96.0,0.0,0.3801210098148413,4.0,9.0,0.24231326252483376,0.4008743307821302,0.0,3.0,1.0,3.0
-0.4,0.0,97.0,1.0,0.7095538117147865,9.0,8.0,0.49912684696634935,0.48320810709187645,3.0,0.0,1.0,3.0
-0.4,0.0,98.0,0.0,0.7666355413352103,9.0,7.0,0.4188011912316556,0.30152276437445774,1.0,0.0,2.0,1.0
-0.4,0.0,99.0,0.0,0.0034738265094439447,4.0,6.0,0.22628744494285163,0.2993646250548939,1.0,0.0,0.0,3.0
-0.4,0.0,100.0,0.0,0.27359398520158695,9.0,11.0,0.46426453103283455,0.5012950261815456,2.0,0.0,1.0,5.0
-0.4,0.0,101.0,0.0,0.28865741705773174,4.0,7.0,0.26341943213865615,0.3681846220101778,2.0,2.0,1.0,4.0
-0.4,0.0,102.0,0.0,0.12683498304097363,4.0,10.0,0.2073791672027722,0.5519998644062488,1.0,0.0,0.0,7.0
-0.4,0.0,103.0,0.0,0.9300296048363716,7.0,8.0,0.39909325115939753,0.3439519979877991,0.0,0.0,1.0,2.0
-0.4,0.0,104.0,0.0,0.8713548613893681,8.0,5.0,0.409463321218957,0.23363037056258912,2.0,0.0,1.0,0.0
-0.4,0.0,105.0,1.0,0.4328279549105194,7.0,5.0,0.36105350622214427,0.272960398973523,2.0,0.0,1.0,1.0
-0.4,0.0,106.0,0.0,0.921382888842977,12.0,6.0,0.6211543111173582,0.2568059116557771,1.0,0.0,7.0,2.0
-0.4,0.0,107.0,1.0,0.33019832335309796,8.0,13.0,0.4750861896488147,0.6110831807564674,2.0,1.0,2.0,8.0
-0.4,0.0,108.0,0.0,0.13558939709870022,2.0,5.0,0.09117557560242821,0.22101054005440154,0.0,0.0,0.0,3.0
-0.4,0.0,109.0,1.0,0.07232460609973002,3.0,4.0,0.17116125177712962,0.18192992321760365,2.0,1.0,0.0,2.0
-0.4,0.0,110.0,1.0,0.004450279074271313,7.0,10.0,0.37273015459413994,0.4919353748748782,3.0,2.0,0.0,4.0
-0.4,0.0,111.0,0.0,0.9980998379340185,12.0,9.0,0.6359288061681883,0.442722810291969,1.0,0.0,2.0,0.0
-0.4,0.0,112.0,0.0,0.08945381856084023,5.0,7.0,0.29907659215560173,0.36962943366898204,2.0,1.0,0.0,3.0
-0.4,0.0,113.0,0.0,0.23312741669963877,6.0,7.0,0.2061917518239525,0.36404390040263596,3.0,2.0,1.0,3.0
-0.4,0.0,114.0,1.0,0.06578355511663303,4.0,12.0,0.19565468826794152,0.4846620390444885,1.0,4.0,0.0,5.0
-0.4,0.0,115.0,1.0,0.3315402302103585,1.0,8.0,0.042104523124474505,0.47110317514463085,0.0,3.0,0.0,4.0
-0.4,0.0,116.0,0.0,0.005573615461685777,2.0,11.0,0.12416001913425953,0.6096440724870607,0.0,0.0,0.0,9.0
-0.4,0.0,117.0,1.0,0.375835856121026,12.0,10.0,0.7035005231145798,0.4430327631935387,2.0,0.0,2.0,2.0
-0.4,0.0,118.0,1.0,0.5581489181875777,12.0,7.0,0.50264690470559,0.3621586002395687,4.0,0.0,2.0,1.0
-0.4,0.0,119.0,0.0,0.8409017458790303,9.0,4.0,0.34513949924891396,0.14868263290683367,2.0,0.0,3.0,0.0
-0.4,0.0,120.0,0.0,0.7544605968886792,9.0,7.0,0.4264170239355187,0.25513413631577886,2.0,0.0,0.0,0.0
-0.4,0.0,121.0,1.0,0.26155141361236967,8.0,10.0,0.41415381853085076,0.5297544870448581,1.0,0.0,1.0,4.0
-0.4,0.0,122.0,1.0,0.75543789397146,17.0,11.0,0.796480566305687,0.4613318055168481,5.0,0.0,2.0,1.0
-0.4,0.0,123.0,1.0,0.7652404003287816,13.0,10.0,0.751160200004316,0.4635463037707613,3.0,0.0,1.0,1.0
-0.4,0.0,124.0,0.0,0.8077253003049173,17.0,12.0,0.9218506697511316,0.502654919553437,4.0,0.0,3.0,2.0
-0.4,0.0,125.0,1.0,0.1675338553053708,3.0,9.0,0.1801468988993047,0.4361165655937616,1.0,1.0,0.0,6.0
-0.4,0.0,126.0,0.0,0.7621317970544532,8.0,5.0,0.4300569179047522,0.2579384502416933,2.0,0.0,3.0,2.0
-0.4,0.0,127.0,1.0,0.2192145258499265,3.0,3.0,0.19954997663957197,0.18977107339664645,2.0,0.0,0.0,2.0
-0.4,0.0,128.0,1.0,0.1741901391122398,2.0,6.0,0.13003040694246748,0.3461795263400333,0.0,1.0,0.0,3.0
-0.4,0.0,129.0,1.0,0.6941965171743513,12.0,9.0,0.616895664382466,0.404347081887705,2.0,1.0,3.0,1.0
-0.4,0.0,130.0,1.0,0.3700815956522132,1.0,6.0,0.06032486570688761,0.29973926823475877,0.0,1.0,0.0,4.0
-0.4,0.0,131.0,0.0,0.7751129442930484,11.0,7.0,0.546447329682007,0.32754449326851787,2.0,0.0,3.0,1.0
-0.4,0.0,132.0,0.0,0.41797311170598517,10.0,7.0,0.4399166828623373,0.29327687590710744,3.0,0.0,1.0,1.0
-0.4,0.0,133.0,1.0,0.13835306658772817,8.0,19.0,0.3710379977147493,1.0,1.0,2.0,0.0,10.0
-0.4,0.0,134.0,0.0,0.10648307220442632,8.0,17.0,0.42025208726786084,0.8579811697991276,5.0,4.0,0.0,10.0
-0.4,0.0,135.0,0.0,0.8664639540093895,8.0,5.0,0.4406757258159033,0.20581648997826527,1.0,0.0,3.0,1.0
-0.4,0.0,136.0,1.0,0.7195085771410697,10.0,8.0,0.5815725794471724,0.4454574300683504,3.0,0.0,2.0,3.0
-0.4,0.0,137.0,0.0,0.09119019696553377,4.0,7.0,0.21343724587359528,0.33350908088786274,2.0,1.0,0.0,4.0
-0.4,0.0,138.0,1.0,0.8990906647856991,6.0,3.0,0.30845330589444225,0.11470046573062921,3.0,0.0,2.0,2.0
-0.4,0.0,139.0,0.0,0.9973711855503091,13.0,7.0,0.658609382732959,0.2554983192519471,4.0,0.0,2.0,0.0
-0.4,0.0,140.0,1.0,0.2658769404107779,5.0,6.0,0.28824181052308967,0.1877117532818878,3.0,2.0,1.0,3.0
-0.4,0.0,141.0,1.0,0.4543735208346622,9.0,10.0,0.4326690771281375,0.5151745340010909,1.0,0.0,1.0,3.0
-0.4,0.0,142.0,0.0,0.661720225476242,12.0,10.0,0.656349590611831,0.49082883837904445,3.0,0.0,1.0,2.0
-0.4,0.0,143.0,0.0,0.6301796581114363,12.0,9.0,0.5621560214942157,0.519385434913913,4.0,0.0,1.0,2.0
-0.4,0.0,144.0,1.0,0.40000980005436937,4.0,4.0,0.2581615095282025,0.1434254211628267,2.0,1.0,0.0,1.0
-0.4,0.0,145.0,1.0,0.6880393527653456,10.0,8.0,0.43909032369571005,0.3996696467067832,2.0,0.0,1.0,1.0
-0.4,0.0,146.0,1.0,0.565927810767861,11.0,11.0,0.535043819194145,0.5597429651888258,3.0,0.0,1.0,4.0
-0.4,0.0,147.0,1.0,0.29677072975845564,1.0,5.0,0.02469948296118193,0.2920378080738915,1.0,0.0,0.0,5.0
-0.4,0.0,148.0,1.0,0.9655705232494778,13.0,12.0,0.6833954696057283,0.5142192921986661,1.0,0.0,3.0,3.0
-0.4,0.0,149.0,0.0,0.6401932527652341,12.0,15.0,0.5637346797317682,0.8067175237052805,1.0,0.0,0.0,4.0
-0.4,0.0,150.0,0.0,0.8100018703154482,10.0,10.0,0.5142749688315446,0.5421115145287131,3.0,0.0,0.0,3.0
-0.4,0.0,151.0,0.0,0.034251136138156335,2.0,3.0,0.08338511448264266,0.14299943540137833,2.0,1.0,0.0,2.0
-0.4,0.0,152.0,1.0,0.6206189231464849,14.0,4.0,0.7466453107130682,0.12903531380637642,5.0,0.0,5.0,0.0
-0.4,0.0,153.0,1.0,0.06785229937827753,1.0,6.0,0.06545469456393847,0.2992961371785118,1.0,2.0,0.0,4.0
-0.4,0.0,154.0,0.0,0.5176685440164701,2.0,8.0,0.09214348019242151,0.3268665847420239,0.0,0.0,1.0,7.0
-0.4,0.0,155.0,0.0,0.24194128674270599,3.0,7.0,0.09682987447043663,0.36334849281769027,1.0,0.0,0.0,5.0
-0.4,0.0,156.0,0.0,0.7402289050673226,12.0,10.0,0.541355116908265,0.38196677766697995,1.0,0.0,3.0,2.0
-0.4,0.0,157.0,0.0,0.8961540072312593,17.0,16.0,0.8488320781392064,0.764075481370888,1.0,0.0,2.0,2.0
-0.4,0.0,158.0,0.0,0.3964344696312484,2.0,4.0,0.09847505380817961,0.2259176003436073,1.0,1.0,0.0,2.0
-0.4,0.0,159.0,0.0,0.03868097179016339,2.0,9.0,0.11273124605648953,0.38139952378937747,0.0,2.0,0.0,5.0
-0.4,0.0,160.0,1.0,0.23877689382414147,6.0,10.0,0.3407724055004411,0.48101653499151314,1.0,2.0,1.0,4.0
-0.4,0.0,161.0,1.0,0.07933705747007014,1.0,3.0,0.04429653504202899,0.1237107804911181,1.0,2.0,0.0,1.0
-0.4,0.0,162.0,0.0,0.17545652396443068,7.0,8.0,0.41361497177146234,0.3812462188716459,3.0,1.0,0.0,3.0
-0.4,0.0,163.0,0.0,0.6630347745467041,13.0,9.0,0.7365858631461342,0.39602845928032965,5.0,0.0,1.0,2.0
-0.4,0.0,164.0,0.0,0.8207528780542902,16.0,11.0,0.7964466525823035,0.38946427340739653,4.0,0.0,2.0,1.0
-0.4,0.0,165.0,1.0,0.910441852570108,15.0,10.0,0.7292165514962247,0.4715531034057207,4.0,0.0,2.0,1.0
-0.4,0.0,166.0,0.0,0.4762841546067905,17.0,13.0,1.0,0.6260646095245911,4.0,0.0,2.0,2.0
-0.4,0.0,167.0,0.0,0.8577388130088528,9.0,8.0,0.4785164537076996,0.34262405939876456,1.0,0.0,1.0,1.0
-0.4,0.0,168.0,1.0,0.6014360789186827,7.0,7.0,0.31061334782945216,0.29258103685723386,2.0,1.0,2.0,3.0
-0.4,0.0,169.0,1.0,0.28592205928551817,5.0,7.0,0.3006368794870291,0.25320430203240246,2.0,3.0,1.0,2.0
-0.4,0.0,170.0,1.0,0.5558661078949265,5.0,6.0,0.2814407095632067,0.2917335894685913,3.0,1.0,0.0,3.0
-0.4,0.0,171.0,0.0,0.6137674878360883,8.0,3.0,0.42281028503027906,0.11898313427821508,4.0,0.0,1.0,0.0
-0.4,0.0,172.0,1.0,0.20547045873833114,7.0,10.0,0.41208567124585,0.39659403037009505,2.0,0.0,1.0,6.0
-0.4,0.0,173.0,0.0,0.42821757057661003,18.0,13.0,0.7814144759062179,0.6037012863676434,6.0,0.0,1.0,2.0
-0.4,0.0,174.0,1.0,0.925578900621422,9.0,8.0,0.43485702769054874,0.3355850629798888,2.0,0.0,1.0,2.0
-0.4,0.0,175.0,0.0,0.6739903534126498,12.0,12.0,0.5199006799814142,0.6725301401886477,5.0,0.0,1.0,6.0
-0.4,0.0,176.0,1.0,0.6219353249847854,13.0,9.0,0.67261710118316,0.47394484071841836,4.0,0.0,3.0,3.0
-0.4,0.0,177.0,1.0,0.667498435772737,9.0,7.0,0.3958863111406168,0.3023888785675537,3.0,0.0,1.0,2.0
-0.4,0.0,178.0,1.0,0.550911904634254,14.0,10.0,0.7465934185008323,0.4718636127476341,2.0,0.0,2.0,0.0
-0.4,0.0,179.0,1.0,0.8569542788011536,6.0,6.0,0.3958727628606487,0.4338187441254565,1.0,0.0,2.0,3.0
-0.4,0.0,180.0,1.0,0.8640439146826415,17.0,17.0,0.7966887915875259,0.8800209602696357,2.0,0.0,3.0,5.0
-0.4,0.0,181.0,1.0,0.3658590041991563,15.0,9.0,0.8016458422783364,0.3525753668280315,4.0,0.0,4.0,2.0
-0.4,0.0,182.0,1.0,0.7044053386145521,13.0,11.0,0.6199026146458373,0.5079634439358285,1.0,0.0,4.0,3.0
-0.4,0.0,183.0,0.0,0.034351675525261305,3.0,4.0,0.2158750882075822,0.1354925897181679,2.0,0.0,0.0,3.0
-0.4,0.0,184.0,0.0,0.16622930233875544,7.0,6.0,0.377295690343431,0.3202320194454747,5.0,0.0,0.0,4.0
-0.4,0.0,185.0,0.0,0.5593823032740857,12.0,10.0,0.6410288910012863,0.44400084989926264,3.0,0.0,0.0,1.0
-0.4,0.0,186.0,0.0,0.07139604327397164,5.0,11.0,0.27866120308963577,0.44699979695739234,1.0,2.0,0.0,5.0
-0.4,0.0,187.0,0.0,0.6234706660212443,10.0,7.0,0.4896264147406782,0.32148932226192456,3.0,0.0,3.0,3.0
-0.4,0.0,188.0,1.0,0.50291834775812,2.0,5.0,0.08551992649678677,0.2669411949698933,1.0,1.0,1.0,4.0
-0.4,0.0,189.0,0.0,0.2837762028964238,6.0,9.0,0.28258370768721014,0.4445337631979966,1.0,3.0,0.0,1.0
-0.4,0.0,190.0,1.0,0.07824779987705555,1.0,7.0,0.05906782427070104,0.36783736428031616,0.0,4.0,0.0,2.0
-0.4,0.0,191.0,0.0,0.6529601620755955,11.0,7.0,0.47424459769932054,0.22612669468306293,6.0,0.0,0.0,2.0
-0.4,0.0,192.0,1.0,0.6445015086594067,13.0,7.0,0.6136874690344309,0.3802086042761307,2.0,0.0,4.0,0.0
-0.4,0.0,193.0,1.0,0.6118874982713616,0.0,5.0,2.3748853459800664e-17,0.21473385269385467,0.0,1.0,0.0,4.0
-0.4,0.0,194.0,1.0,0.7243323124138131,8.0,9.0,0.3902316051272126,0.3795801398433184,0.0,0.0,2.0,3.0
-0.4,0.0,195.0,0.0,0.44085703464856374,10.0,6.0,0.5960900555271539,0.24697956227162657,4.0,0.0,1.0,1.0
-0.4,0.0,196.0,0.0,0.8766975301040687,12.0,9.0,0.5609546935734007,0.3220384849052313,1.0,0.0,4.0,2.0
-0.4,0.0,197.0,1.0,0.6808220094197391,10.0,8.0,0.5535906197470752,0.43198902338067746,1.0,0.0,1.0,0.0
-0.4,0.0,198.0,1.0,0.08477392063176137,1.0,5.0,0.05206696306423424,0.2814373814924907,0.0,0.0,0.0,4.0
-0.4,0.0,199.0,0.0,0.30679383243706937,0.0,4.0,2.3748853459800664e-17,0.20178519041200335,0.0,1.0,0.0,3.0
-0.4,1.0,0.0,1.0,0.8115660497752214,10.0,9.0,0.5108124593850586,0.5629457792952816,1.0,0.0,0.0,0.0
-0.4,1.0,1.0,0.0,0.7084090612742915,8.0,7.0,0.337417739819838,0.3705506827836026,2.0,0.0,1.0,2.0
-0.4,1.0,2.0,0.0,0.1115284252761577,4.0,7.0,0.2320520217214828,0.4035459899759391,0.0,1.0,0.0,2.0
-0.4,1.0,3.0,0.0,0.5667878644753359,12.0,11.0,0.5604800282812317,0.6719529609210113,0.0,0.0,2.0,1.0
-0.4,1.0,4.0,1.0,0.7927782545875722,8.0,8.0,0.30422559703964475,0.3611024416353572,0.0,0.0,2.0,2.0
