gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.5,0,0,11,8,8,8,3,0,0,0
-0.5,0,1,6,4,4,3,2,0,0,0
-0.5,0,2,7,5,9,7,2,0,0,0
-0.5,0,3,8,7,8,6,1,0,0,0
-0.5,0,4,8,6,5,5,1,0,1,0
-0.5,0,5,4,3,4,3,1,0,0,0
-0.5,0,6,6,5,7,8,1,0,1,1
-0.5,0,7,6,7,8,5,0,0,0,1
-0.5,0,8,2,4,5,5,2,1,0,3
-0.5,0,9,8,8,6,4,0,0,0,0
-0.5,0,10,6,2,5,3,4,0,0,0
-0.5,0,11,8,7,9,7,3,0,1,3
-0.5,0,12,4,4,2,1,1,0,0,1
-0.5,0,13,5,4,6,3,1,0,2,2
-0.5,0,14,9,7,8,8,1,0,1,0
-0.5,0,15,11,9,8,3,2,0,0,0
-0.5,0,16,10,8,5,4,2,0,0,0
-0.5,0,17,7,3,6,4,1,0,3,0
-0.5,0,18,13,9,4,3,1,0,3,0
-0.5,0,19,12,8,4,4,3,0,1,0
-0.5,0,20,2,3,15,10,0,0,0,1
-0.5,0,21,6,4,5,3,2,0,0,0
-0.5,0,22,0,3,9,6,0,0,0,3
-0.5,0,23,6,5,6,5,2,0,0,1
-0.5,0,24,4,4,9,7,0,0,0,0
-0.5,0,25,6,3,3,1,3,1,1,0
-0.5,0,26,6,3,5,3,1,0,2,0
-0.5,0,27,0,5,5,1,0,1,0,4
-0.5,0,28,6,6,4,3,0,0,0,0
-0.5,0,29,0,4,5,4,0,0,0,4
-0.5,0,30,5,2,3,1,2,0,2,1
-0.5,0,31,11,9,10,8,0,0,2,0
-0.5,0,32,10,8,4,2,0,0,2,0
-0.5,0,33,2,3,5,3,0,0,0,1
-0.5,0,34,11,6,5,4,4,0,1,0
-0.5,0,35,7,4,4,2,3,0,0,0
-0.5,0,36,5,2,6,4,3,0,0,0
-0.5,0,37,9,5,6,5,3,0,2,1
-0.5,0,38,6,5,6,5,1,0,0,0
-0.5,0,39,6,7,5,4,0,0,0,1
-0.5,0,40,5,4,6,6,1,0,1,1
-0.5,0,41,7,7,5,3,0,0,1,1
-0.5,0,42,7,5,4,2,2,0,1,1
-0.5,0,43,4,4,8,7,0,0,1,1
-0.5,0,44,12,7,8,8,3,0,2,0
-0.5,0,45,7,7,4,3,0,0,0,0
-0.5,0,46,3,2,10,7,1,0,0,0
-0.5,0,47,6,7,8,4,0,0,0,1
-0.5,0,48,8,6,2,2,0,0,2,0
-0.5,0,49,2,3,7,5,0,0,0,1
-0.5,0,50,13,9,5,4,0,0,4,0
-0.5,0,51,6,4,6,5,1,0,1,0
-0.5,0,52,11,5,5,3,3,0,3,0
-0.5,0,53,2,4,9,9,0,0,0,2
-0.5,0,54,11,9,9,4,2,0,0,0
-0.5,0,55,10,8,8,9,0,0,2,0
-0.5,0,56,0,2,8,6,0,0,0,2
-0.5,0,57,3,3,7,4,1,0,0,1
-0.5,0,58,5,5,8,4,0,0,0,0
-0.5,0,59,7,5,8,7,1,0,1,0
-0.5,0,60,14,10,8,5,1,0,3,0
-0.5,0,61,0,3,5,4,0,0,0,3
-0.5,0,62,6,5,4,5,0,0,1,0
-0.5,0,63,7,6,7,6,1,0,0,0
-0.5,0,64,6,5,5,5,1,0,0,0
-0.5,0,65,4,2,10,8,3,1,1,1
-0.5,0,66,0,5,8,6,0,0,0,5
-0.5,0,67,7,4,5,2,1,0,2,0
-0.5,0,68,9,8,13,8,1,0,0,0
-0.5,0,69,9,5,6,2,1,0,3,0
-0.5,0,70,10,7,6,4,3,0,0,0
-0.5,0,71,4,4,9,7,0,0,0,0
-0.5,0,72,4,4,10,9,0,0,0,0
-0.5,0,73,13,12,7,4,0,0,1,0
-0.5,0,74,6,5,5,3,1,0,0,0
-0.5,0,75,3,4,6,6,1,0,0,2
-0.5,0,76,3,4,5,4,1,0,0,2
-0.5,0,77,8,4,9,8,1,0,3,0
-0.5,0,78,5,1,5,4,3,0,2,1
-0.5,0,79,6,6,7,5,0,0,0,0
-0.5,0,80,5,3,5,5,2,0,1,1
-0.5,0,81,2,3,2,2,0,0,0,1
-0.5,0,82,6,5,10,8,1,0,1,1
-0.5,0,83,12,10,7,5,1,0,1,0
-0.5,0,84,2,2,9,8,1,0,0,1
-0.5,0,85,7,6,7,4,0,0,1,0
-0.5,0,86,9,8,9,7,0,0,1,0
-0.5,0,87,13,5,11,7,6,0,2,0
-0.5,0,88,3,2,3,4,1,0,0,0
-0.5,0,89,2,2,10,9,0,0,1,1
-0.5,0,90,3,2,4,1,1,0,0,0
-0.5,0,91,2,1,6,4,1,0,0,0
-0.5,0,92,8,4,5,4,1,0,3,0
-0.5,0,93,10,7,3,3,2,0,1,0
-0.5,0,94,11,7,5,6,2,0,2,0
-0.5,0,95,6,5,11,4,2,0,1,2
-0.5,0,96,8,5,5,3,2,0,1,0
-0.5,0,97,7,6,10,10,0,0,1,0
-0.5,0,98,10,9,11,6,1,0,0,0
-0.5,0,99,4,4,6,5,2,0,0,2
-0.5,0,100,17,15,6,3,1,0,1,0
-0.5,0,101,6,5,7,4,1,0,0,0
-0.5,0,102,6,4,3,3,1,0,1,0
-0.5,0,103,8,6,4,7,0,0,2,0
-0.5,0,104,6,4,10,9,1,0,1,0
-0.5,0,105,12,6,6,4,1,0,5,0
-0.5,0,106,13,8,4,3,0,0,5,0
-0.5,0,107,3,3,13,11,0,0,0,0
-0.5,0,108,9,8,10,10,1,0,0,0
-0.5,0,109,6,4,6,6,1,0,1,0
-0.5,0,110,7,6,1,3,0,0,1,0
-0.5,0,111,7,6,2,4,1,0,0,0
-0.5,0,112,4,2,6,5,2,0,0,0
-0.5,0,113,0,3,6,5,0,0,0,3
-0.5,0,114,4,3,3,4,1,0,1,1
-0.5,0,115,7,5,3,4,1,0,1,0
-0.5,0,116,9,5,6,6,3,0,1,0
-0.5,0,117,5,3,9,6,2,0,0,0
-0.5,0,118,4,4,2,1,0,0,0,0
-0.5,0,119,9,6,6,5,1,0,2,0
-0.5,0,120,10,5,9,7,2,0,3,0
-0.5,0,121,6,5,2,0,0,0,1,0
-0.5,0,122,0,2,6,4,0,0,0,2
-0.5,0,123,2,1,6,5,1,0,0,0
-0.5,0,124,11,8,8,7,2,0,1,0
-0.5,0,125,6,5,9,6,1,0,0,0
-0.5,0,126,11,9,4,3,0,0,2,0
-0.5,0,127,3,3,8,6,0,0,0,0
-0.5,0,128,11,7,11,10,2,0,3,1
-0.5,0,129,6,3,3,2,1,0,2,0
-0.5,0,130,11,10,8,5,1,0,0,0
-0.5,0,131,8,5,7,4,0,0,3,0
-0.5,0,132,6,6,6,6,0,0,0,0
-0.5,0,133,7,6,8,8,0,0,1,0
-0.5,0,134,6,6,10,5,0,0,1,1
-0.5,0,135,0,4,1,0,0,0,0,4
-0.5,0,136,3,4,5,3,1,0,0,2
-0.5,0,137,10,8,3,3,2,0,0,0
-0.5,0,138,5,2,7,6,2,0,1,0
-0.5,0,139,5,5,2,1,0,0,0,0
-0.5,0,140,8,6,4,4,0,0,2,0
-0.5,0,141,4,2,3,2,2,0,0,0
-0.5,0,142,3,3,6,7,3,0,0,3
-0.5,0,143,5,4,6,5,2,0,1,2
-0.5,0,144,4,6,8,8,0,0,0,2
-0.5,0,145,2,3,7,5,0,0,0,1
-0.5,0,146,10,7,10,9,1,0,2,0
-0.5,0,147,4,2,7,5,2,0,0,0
-0.5,0,148,9,7,9,9,0,0,2,0
-0.5,0,149,2,2,7,5,0,0,1,1
-0.5,0,150,3,4,5,3,1,0,0,2
-0.5,0,151,1,4,5,2,1,0,0,4
-0.5,0,152,11,7,5,3,2,0,2,0
-0.5,0,153,9,4,12,6,3,0,2,0
-0.5,0,154,2,1,6,6,0,0,1,0
-0.5,0,155,3,6,4,4,1,0,0,4
-0.5,0,156,4,1,6,6,3,0,0,0
-0.5,0,157,10,8,5,4,0,0,2,0
-0.5,0,158,5,5,6,6,0,0,1,1
-0.5,0,159,6,2,7,6,2,0,2,0
-0.5,0,160,3,2,4,3,1,0,0,0
-0.5,0,161,5,4,9,10,0,0,1,0
-0.5,0,162,0,2,5,3,0,0,0,2
-0.5,0,163,15,11,13,10,2,0,2,0
-0.5,0,164,6,3,5,5,3,0,0,0
-0.5,0,165,1,2,7,8,1,0,0,2
-0.5,0,166,6,4,3,5,2,0,0,0
-0.5,0,167,8,6,6,5,2,0,0,0
-0.5,0,168,6,6,6,3,0,0,1,1
-0.5,0,169,5,5,7,4,0,0,0,0
-0.5,0,170,9,6,8,5,3,0,1,1
-0.5,0,171,5,4,5,4,1,0,0,0
-0.5,0,172,11,8,7,5,2,0,1,0
-0.5,0,173,7,5,4,6,2,0,0,0
-0.5,0,174,5,3,5,5,4,0,0,2
-0.5,0,175,8,7,4,2,1,0,0,0
-0.5,0,176,5,2,8,9,2,0,1,0
-0.5,0,177,11,5,5,3,3,0,3,0
-0.5,0,178,6,5,8,5,4,0,0,3
-0.5,0,179,4,2,5,5,2,0,0,0
-0.5,0,180,12,9,2,1,2,0,1,0
-0.5,0,181,7,7,6,5,1,0,0,1
-0.5,0,182,8,7,4,2,0,0,1,0
-0.5,0,183,5,4,9,6,1,0,0,0
-0.5,0,184,8,5,5,7,3,0,0,0
-0.5,0,185,6,3,12,12,1,0,2,0
-0.5,0,186,8,8,9,7,0,0,0,0
-0.5,0,187,1,1,11,7,0,0,0,0
-0.5,0,188,11,5,6,5,2,0,4,0
-0.5,0,189,4,4,6,5,0,0,1,1
-0.5,0,190,11,6,7,4,2,0,3,0
-0.5,0,191,9,4,9,7,1,0,4,0
-0.5,0,192,11,8,8,7,1,0,2,0
-0.5,0,193,8,5,4,3,2,0,2,1
-0.5,0,194,1,2,5,4,1,0,0,2
-0.5,0,195,5,3,11,7,1,0,1,0
-0.5,0,196,7,2,9,8,4,0,1,0
-0.5,0,197,7,5,12,6,1,0,1,0
-0.5,0,198,9,6,5,3,1,0,2,0
-0.5,0,199,8,5,5,3,2,0,1,0
-0.5,1,0,8,6,5,7,2,0,0,0
-0.5,1,1,3,3,7,5,1,0,0,1
-0.5,1,2,5,2,6,4,2,0,1,0
-0.5,1,3,6,3,5,4,2,0,2,1
-0.5,1,4,8,5,10,5,2,0,1,0
-0.5,1,5,5,5,9,6,0,0,0,0
-0.5,1,6,7,2,6,4,3,0,2,0
-0.5,1,7,10,7,7,5,2,0,1,0
-0.5,1,8,8,3,8,6,1,0,4,0
-0.5,1,9,2,3,7,1,0,0,1,2
-0.5,1,10,2,2,5,4,2,0,0,2
-0.5,1,11,8,4,6,3,1,0,3,0
-0.5,1,12,8,8,6,5,0,0,0,0
-0.5,1,13,7,5,4,4,2,0,0,0
-0.5,1,14,9,8,9,6,0,0,1,0
-0.5,1,15,2,1,8,6,1,0,0,0
-0.5,1,16,10,8,14,8,1,0,1,0
-0.5,1,17,9,5,4,2,2,0,2,0
-0.5,1,18,6,4,7,4,1,0,1,0
-0.5,1,19,12,9,6,5,1,0,2,0
-0.5,1,20,11,7,4,3,2,0,2,0
-0.5,1,21,6,2,7,6,1,0,3,0
-0.5,1,22,7,4,8,3,2,0,1,0
-0.5,1,23,2,4,8,6,1,0,1,4
-0.5,1,24,12,12,6,2,0,0,0,0
-0.5,1,25,9,3,9,7,2,0,6,2
-0.5,1,26,12,8,8,6,3,0,1,0
-0.5,1,27,5,4,4,3,0,0,1,0
-0.5,1,28,8,3,5,4,2,0,3,0
-0.5,1,29,4,4,8,3,0,0,0,0
-0.5,1,30,0,3,11,7,0,0,0,3
-0.5,1,31,8,6,8,5,2,0,1,1
-0.5,1,32,10,7,0,0,2,0,1,0
-0.5,1,33,2,3,9,6,2,0,0,3
-0.5,1,34,8,6,7,6,1,0,3,2
-0.5,1,35,8,4,7,2,2,0,2,0
-0.5,1,36,12,9,4,4,1,0,2,0
-0.5,1,37,4,3,7,5,1,0,2,2
-0.5,1,38,9,6,10,7,0,0,3,0
-0.5,1,39,7,5,7,8,1,0,1,0
-0.5,1,40,6,5,7,6,1,0,0,0
-0.5,1,41,7,6,5,6,1,0,1,1
-0.5,1,42,4,4,10,9,0,0,0,0
-0.5,1,43,11,7,4,3,3,0,1,0
-0.5,1,44,8,5,8,5,1,0,2,0
-0.5,1,45,6,3,6,1,2,0,1,0
-0.5,1,46,9,6,3,2,2,0,1,0
-0.5,1,47,3,1,9,4,0,0,2,0
-0.5,1,48,1,1,5,5,0,0,0,0
-0.5,1,49,10,6,9,6,2,0,2,0
-0.5,1,50,2,2,9,6,0,0,1,1
-0.5,1,51,9,7,5,5,0,0,2,0
-0.5,1,52,12,7,6,5,2,0,3,0
-0.5,1,53,7,5,8,7,0,0,2,0
-0.5,1,54,9,5,9,6,2,0,2,0
-0.5,1,55,2,3,10,8,0,0,0,1
-0.5,1,56,11,9,10,5,1,0,1,0
-0.5,1,57,9,6,11,9,2,0,1,0
-0.5,1,58,6,6,6,4,0,0,0,0
-0.5,1,59,4,4,9,6,1,0,0,1
-0.5,1,60,7,5,5,4,1,0,2,1
-0.5,1,61,8,6,6,6,1,0,1,0
-0.5,1,62,3,3,9,5,1,0,0,1
-0.5,1,63,4,5,5,3,0,0,0,1
-0.5,1,64,5,1,6,6,2,0,2,0
-0.5,1,65,15,9,5,2,2,0,4,0
-0.5,1,66,13,8,12,8,1,0,4,0
-0.5,1,67,2,1,6,2,2,0,0,1
-0.5,1,68,4,4,5,3,0,0,0,0
-0.5,1,69,4,5,6,3,0,0,0,1
-0.5,1,70,11,8,11,9,1,0,2,0
-0.5,1,71,12,10,7,6,2,0,0,0
-0.5,1,72,5,3,7,7,1,0,1,0
-0.5,1,73,3,3,4,1,3,0,0,3
-0.5,1,74,5,3,3,4,1,0,1,0
-0.5,1,75,11,9,11,6,0,0,2,0
-0.5,1,76,2,3,12,6,0,0,0,1
-0.5,1,77,3,2,10,7,1,0,1,1
-0.5,1,78,9,5,8,7,3,0,1,0
-0.5,1,79,5,3,8,5,2,0,1,1
-0.5,1,80,8,6,4,2,0,0,2,0
-0.5,1,81,10,8,4,3,2,0,0,0
-0.5,1,82,6,4,5,3,0,0,2,0
-0.5,1,83,7,5,8,6,1,0,1,0
-0.5,1,84,6,4,8,8,1,0,1,0
-0.5,1,85,9,6,8,5,1,0,2,0
-0.5,1,86,6,6,4,2,0,0,0,0
-0.5,1,87,4,3,9,6,2,0,1,2
-0.5,1,88,12,5,8,7,3,0,5,1
-0.5,1,89,5,4,9,5,0,0,1,0
-0.5,1,90,8,1,6,6,5,0,2,0
-0.5,1,91,9,6,6,5,3,0,0,0
-0.5,1,92,3,5,8,5,1,0,1,4
-0.5,1,93,10,5,4,3,4,0,1,0
-0.5,1,94,6,4,3,2,1,0,1,0
-0.5,1,95,8,6,8,5,0,0,2,0
-0.5,1,96,9,6,18,10,3,0,0,0
-0.5,1,97,7,6,8,7,0,0,1,0
-0.5,1,98,6,2,12,10,3,0,1,0
-0.5,1,99,10,5,7,7,3,0,2,0
-0.5,1,100,11,7,3,2,3,0,1,0
-0.5,1,101,7,5,5,4,2,0,0,0
-0.5,1,102,11,6,7,6,4,0,1,0
-0.5,1,103,8,3,3,3,2,0,3,0
-0.5,1,104,10,5,7,6,2,0,3,0
-0.5,1,105,9,3,3,1,2,0,4,0
-0.5,1,106,8,5,2,2,3,0,1,1
-0.5,1,107,9,5,7,5,2,0,2,0
-0.5,1,108,6,4,5,6,0,0,2,0
-0.5,1,109,6,3,5,4,2,0,1,0
-0.5,1,110,7,4,6,5,2,0,1,0
-0.5,1,111,4,2,8,6,1,0,1,0
-0.5,1,112,12,9,10,10,0,0,3,0
-0.5,1,113,10,9,10,4,0,0,1,0
-0.5,1,114,13,9,2,0,3,0,1,0
-0.5,1,115,6,5,6,6,1,0,0,0
-0.5,1,116,8,4,8,7,2,0,2,0
-0.5,1,117,9,6,9,5,1,0,2,0
-0.5,1,118,10,6,5,4,2,0,2,0
-0.5,1,119,12,7,8,6,3,0,2,0
-0.5,1,120,10,9,5,2,0,0,1,0
-0.5,1,121,10,9,6,5,1,0,0,0
-0.5,1,122,10,8,5,5,1,0,2,1
-0.5,1,123,6,6,3,1,0,0,0,0
-0.5,1,124,4,3,3,2,1,0,0,0
-0.5,1,125,6,5,5,5,1,0,0,0
-0.5,1,126,0,3,9,6,0,0,0,3
-0.5,1,127,5,3,10,6,2,0,1,1
-0.5,1,128,6,4,6,5,0,0,2,0
-0.5,1,129,5,5,8,5,0,0,0,0
-0.5,1,130,8,8,7,5,0,0,2,2
-0.5,1,131,10,8,6,6,2,0,0,0
-0.5,1,132,2,1,8,7,0,0,1,0
-0.5,1,133,2,2,7,6,0,0,1,1
-0.5,1,134,10,6,9,6,4,0,0,0
-0.5,1,135,15,10,6,3,3,0,2,0
-0.5,1,136,9,6,6,7,0,0,3,0
-0.5,1,137,7,4,9,6,2,0,1,0
-0.5,1,138,8,6,1,1,1,0,1,0
-0.5,1,139,2,3,11,4,1,0,0,2
-0.5,1,140,6,5,11,8,2,0,0,1
-0.5,1,141,8,5,4,4,1,0,2,0
-0.5,1,142,5,5,6,5,0,0,1,1
-0.5,1,143,8,6,5,4,2,0,0,0
-0.5,1,144,7,6,8,4,1,0,0,0
-0.5,1,145,6,4,7,4,1,0,1,0
-0.5,1,146,11,10,5,5,1,0,0,0
-0.5,1,147,4,3,7,4,2,1,0,0
-0.5,1,148,2,3,4,2,1,0,1,3
-0.5,1,149,12,8,8,5,3,0,1,0
-0.5,1,150,7,6,10,10,0,0,1,0
-0.5,1,151,9,6,7,5,1,0,2,0
-0.5,1,152,11,10,5,3,1,0,0,0
-0.5,1,153,4,5,8,6,2,0,0,3
-0.5,1,154,11,8,6,5,2,0,1,0
-0.5,1,155,4,2,7,7,2,0,0,0
-0.5,1,156,11,6,4,5,2,0,3,0
-0.5,1,157,5,4,4,2,1,0,0,0
-0.5,1,158,1,4,4,2,1,0,0,4
-0.5,1,159,9,7,16,10,2,0,0,0
-0.5,1,160,8,6,4,3,2,0,0,0
-0.5,1,161,9,4,10,7,3,0,2,0
-0.5,1,162,5,5,6,6,0,0,1,1
-0.5,1,163,12,8,10,8,2,0,2,0
-0.5,1,164,1,2,7,6,1,0,0,2
-0.5,1,165,9,7,11,7,2,0,0,0
-0.5,1,166,2,3,5,6,0,0,1,2
-0.5,1,167,6,2,5,4,4,0,0,0
-0.5,1,168,9,8,5,3,1,0,0,0
-0.5,1,169,1,4,7,4,1,0,0,4
-0.5,1,170,10,5,4,3,2,0,4,1
-0.5,1,171,5,4,14,9,0,0,1,0
-0.5,1,172,2,3,6,5,0,0,0,1
-0.5,1,173,0,2,5,3,0,0,0,2
-0.5,1,174,2,4,6,5,0,0,1,3
-0.5,1,175,8,5,13,9,0,0,3,0
-0.5,1,176,9,5,4,4,3,0,1,0
-0.5,1,177,10,7,12,9,2,0,1,0
-0.5,1,178,10,8,6,5,2,0,0,0
-0.5,1,179,2,6,6,5,1,0,1,6
-0.5,1,180,8,6,3,1,1,0,1,0
-0.5,1,181,4,3,8,6,1,0,0,0
-0.5,1,182,8,5,5,4,0,0,3,0
-0.5,1,183,5,4,9,8,1,0,0,0
-0.5,1,184,0,1,7,7,0,1,0,0
-0.5,1,185,5,5,3,3,1,0,0,1
-0.5,1,186,8,6,6,4,0,0,2,0
-0.5,1,187,2,3,5,4,0,0,0,1
-0.5,1,188,9,7,6,5,2,0,0,0
-0.5,1,189,6,3,6,5,3,0,1,1
-0.5,1,190,14,7,8,7,3,0,4,0
-0.5,1,191,4,1,6,6,1,0,2,0
-0.5,1,192,10,6,8,4,1,0,3,0
-0.5,1,193,5,3,9,9,1,0,1,0
-0.5,1,194,3,3,7,2,1,0,0,1
-0.5,1,195,11,8,8,5,2,0,1,0
-0.5,1,196,1,3,9,5,1,0,0,3
-0.5,1,197,9,7,4,4,0,0,2,0
-0.5,1,198,3,2,12,7,1,0,0,0
-0.5,1,199,3,3,7,6,1,0,0,1
-0.5,2,0,5,3,6,5,1,0,1,0
-0.5,2,1,3,2,6,2,1,0,0,0
-0.5,2,2,2,2,9,7,0,0,0,0
-0.5,2,3,8,6,5,2,0,0,2,0
-0.5,2,4,4,4,5,5,2,0,1,3
-0.5,2,5,4,5,3,1,0,0,0,1
-0.5,2,6,5,3,9,7,2,0,1,1
-0.5,2,7,4,7,5,4,1,0,0,4
-0.5,2,8,8,5,11,8,2,0,1,0
-0.5,2,9,10,7,10,9,2,0,1,0
-0.5,2,10,4,4,8,7,1,0,0,1
-0.5,2,11,5,4,6,5,1,0,0,0
-0.5,2,12,9,5,9,9,1,0,3,0
-0.5,2,13,6,2,9,8,3,0,1,0
-0.5,2,14,7,5,3,3,2,0,1,1
-0.5,2,15,11,9,7,6,1,0,1,0
-0.5,2,16,7,5,7,4,2,0,0,0
-0.5,2,17,3,3,8,4,1,0,0,1
-0.5,2,18,10,8,7,4,1,0,1,0
-0.5,2,19,5,4,5,4,0,0,1,0
-0.5,2,20,3,2,5,6,1,0,1,1
-0.5,2,21,10,9,6,2,0,0,1,0
-0.5,2,22,5,3,7,2,2,0,0,0
-0.5,2,23,6,3,7,9,3,0,0,0
-0.5,2,24,11,9,8,4,1,0,1,0
-0.5,2,25,10,7,3,2,1,0,2,0
-0.5,2,26,0,5,10,8,0,0,0,5
-0.5,2,27,7,6,8,3,2,0,2,3
-0.5,2,28,9,7,9,9,2,0,1,1
-0.5,2,29,4,3,6,5,1,0,1,1
-0.5,2,30,5,4,6,6,1,0,1,1
-0.5,2,31,14,11,10,5,2,0,1,0
-0.5,2,32,4,2,12,9,0,0,2,0
-0.5,2,33,5,3,5,3,1,0,2,1
-0.5,2,34,6,4,7,5,1,0,1,0
-0.5,2,35,6,6,8,6,2,0,1,3
-0.5,2,36,9,6,4,4,1,0,2,0
-0.5,2,37,10,4,9,7,3,0,3,0
-0.5,2,38,4,5,6,5,0,0,0,1
-0.5,2,39,2,1,6,5,1,0,0,0
-0.5,2,40,8,6,6,3,1,0,1,0
-0.5,2,41,8,6,7,6,2,0,0,0
-0.5,2,42,4,4,9,7,0,0,0,0
-0.5,2,43,11,6,7,6,2,0,3,0
-0.5,2,44,6,5,6,4,0,0,2,1
-0.5,2,45,2,1,5,5,1,0,1,1
-0.5,2,46,6,4,4,2,0,0,2,0
-0.5,2,47,5,2,4,3,0,0,3,0
-0.5,2,48,7,5,4,4,2,0,0,0
-0.5,2,49,4,4,3,3,0,0,0,0
-0.5,2,50,3,2,6,4,1,0,0,0
-0.5,2,51,9,2,11,10,3,0,4,0
-0.5,2,52,9,6,6,6,3,0,0,0
-0.5,2,53,8,5,5,3,2,0,1,0
-0.5,2,54,5,6,8,7,0,0,1,2
-0.5,2,55,8,6,9,6,1,0,2,1
-0.5,2,56,4,3,7,6,1,0,2,2
-0.5,2,57,5,5,9,6,1,0,0,1
-0.5,2,58,11,7,8,5,4,0,0,0
-0.5,2,59,9,6,6,4,2,0,2,1
-0.5,2,60,2,2,11,4,0,0,0,0
-0.5,2,61,8,5,10,7,2,0,1,0
-0.5,2,62,2,1,15,11,1,0,0,0
-0.5,2,63,2,3,11,5,0,0,0,1
-0.5,2,64,6,3,3,1,0,0,3,0
-0.5,2,65,7,6,5,5,1,0,0,0
-0.5,2,66,7,5,11,9,1,0,2,1
-0.5,2,67,6,6,7,6,0,0,0,0
-0.5,2,68,8,5,8,5,1,0,2,0
-0.5,2,69,8,5,10,8,2,0,2,1
-0.5,2,70,1,2,6,6,1,0,0,2
-0.5,2,71,2,2,7,3,0,0,0,0
-0.5,2,72,6,5,9,7,1,0,0,0
-0.5,2,73,10,6,12,8,3,0,1,0
-0.5,2,74,11,7,7,5,2,0,2,0
-0.5,2,75,4,3,8,5,2,0,0,1
-0.5,2,76,9,6,9,5,1,0,2,0
-0.5,2,77,8,4,8,5,3,0,1,0
-0.5,2,78,5,3,8,10,0,0,2,0
-0.5,2,79,4,4,6,4,2,0,2,4
-0.5,2,80,9,7,5,4,0,0,2,0
-0.5,2,81,14,8,4,3,3,0,3,0
-0.5,2,82,11,7,7,3,3,0,1,0
-0.5,2,83,6,4,9,4,1,0,1,0
-0.5,2,84,12,7,10,8,3,0,2,0
-0.5,2,85,5,4,10,8,2,0,0,1
-0.5,2,86,8,5,9,9,1,0,3,1
-0.5,2,87,6,6,7,5,0,0,0,0
-0.5,2,88,7,7,8,6,0,0,0,0
-0.5,2,89,6,5,7,5,1,0,0,0
-0.5,2,90,7,6,5,3,1,0,0,0
-0.5,2,91,13,8,6,3,4,0,1,0
-0.5,2,92,2,3,8,4,0,0,0,1
-0.5,2,93,8,7,3,3,1,0,0,0
-0.5,2,94,7,4,10,6,3,0,1,1
-0.5,2,95,8,6,3,5,1,0,1,0
-0.5,2,96,10,6,3,4,4,0,0,0
-0.5,2,97,9,6,7,4,2,0,1,0
-0.5,2,98,5,4,6,5,0,0,2,1
-0.5,2,99,13,11,3,2,1,0,1,0
-0.5,2,100,7,6,8,6,0,0,1,0
-0.5,2,101,6,5,2,0,0,0,1,0
-0.5,2,102,2,3,9,5,0,0,1,2
-0.5,2,103,12,7,7,6,1,0,4,0
-0.5,2,104,8,6,5,4,1,0,1,0
-0.5,2,105,6,5,11,7,1,0,0,0
-0.5,2,106,3,3,9,6,0,0,1,1
-0.5,2,107,8,6,6,7,2,0,0,0
-0.5,2,108,6,4,9,5,1,0,1,0
-0.5,2,109,8,5,9,5,3,0,1,1
-0.5,2,110,5,4,7,5,2,0,0,1
-0.5,2,111,5,3,4,5,1,0,1,0
-0.5,2,112,7,4,7,4,1,0,2,0
-0.5,2,113,9,7,13,7,2,0,0,0
-0.5,2,114,4,2,10,6,2,0,2,2
-0.5,2,115,8,5,4,2,2,0,1,0
-0.5,2,116,6,5,10,6,1,0,0,0
-0.5,2,117,6,4,4,2,0,0,2,0
-0.5,2,118,11,6,8,8,3,0,2,0
-0.5,2,119,7,3,3,1,4,0,1,1
-0.5,2,120,6,5,5,2,1,0,0,0
-0.5,2,121,7,7,9,7,1,0,0,1
-0.5,2,122,10,6,5,4,3,0,1,0
-0.5,2,123,7,7,8,9,0,0,0,0
-0.5,2,124,8,7,8,6,0,0,1,0
-0.5,2,125,10,7,3,1,3,0,1,1
-0.5,2,126,7,5,3,1,1,0,1,0
-0.5,2,127,3,1,7,2,1,0,1,0
-0.5,2,128,7,4,6,6,2,0,1,0
-0.5,2,129,10,9,3,1,1,0,0,0
-0.5,2,130,9,5,5,2,3,0,1,0
-0.5,2,131,3,3,7,6,1,0,0,1
-0.5,2,132,7,3,5,1,2,0,2,0
-0.5,2,133,0,4,8,5,0,0,0,4
-0.5,2,134,7,5,4,4,1,0,1,0
-0.5,2,135,9,8,7,5,0,0,1,0
-0.5,2,136,12,10,4,4,1,0,1,0
-0.5,2,137,8,5,8,7,3,0,0,0
-0.5,2,138,3,3,10,8,3,0,0,3
-0.5,2,139,12,9,12,10,1,0,2,0
-0.5,2,140,7,4,7,3,2,0,1,0
-0.5,2,141,3,3,5,5,0,0,0,0
-0.5,2,142,4,4,4,5,0,0,0,0
-0.5,2,143,7,5,6,3,0,0,2,0
-0.5,2,144,4,4,11,8,0,0,0,0
-0.5,2,145,6,3,7,5,1,0,3,1
-0.5,2,146,6,6,9,4,4,0,0,4
-0.5,2,147,6,5,6,5,1,0,0,0
-0.5,2,148,10,5,9,5,2,0,3,0
-0.5,2,149,9,4,12,12,5,0,0,0
-0.5,2,150,7,5,7,6,1,0,1,0
-0.5,2,151,15,5,7,6,7,0,4,1
-0.5,2,152,3,2,5,4,0,0,1,0
-0.5,2,153,7,5,7,7,1,0,1,0
-0.5,2,154,9,5,9,8,0,0,4,0
-0.5,2,155,9,5,8,6,3,0,1,0
-0.5,2,156,6,4,7,6,1,0,1,0
