gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.3,0,0,6,2,11,6,1,0,3,0
0.3,0,1,8,7,10,6,1,0,0,0
0.3,0,2,7,5,8,6,1,0,1,0
0.3,0,3,1,4,7,3,1,0,0,4
0.3,0,4,8,7,8,7,1,0,1,1
0.3,0,5,9,7,11,7,2,0,0,0
0.3,0,6,8,6,11,6,2,0,0,0
0.3,0,7,6,6,5,4,0,0,0,0
0.3,0,8,9,9,10,8,0,0,0,0
0.3,0,9,5,3,7,5,1,0,1,0
0.3,0,10,3,2,6,4,1,0,0,0
0.3,0,11,2,3,5,3,0,0,0,1
0.3,0,12,2,1,2,2,2,0,0,1
0.3,0,13,7,6,8,5,0,0,1,0
0.3,0,14,8,4,3,2,0,0,4,0
0.3,0,15,12,12,5,4,0,0,0,0
0.3,0,16,8,4,5,2,2,0,2,0
0.3,0,17,11,10,5,3,0,0,1,0
0.3,0,18,5,2,7,4,3,0,0,0
0.3,0,19,8,3,2,1,3,0,3,1
0.3,0,20,13,11,4,2,1,0,1,0
0.3,0,21,5,3,7,6,1,0,2,1
0.3,0,22,9,7,7,8,2,0,0,0
0.3,0,23,7,3,5,5,2,0,2,0
0.3,0,24,10,7,10,6,3,0,0,0
0.3,0,25,4,2,10,6,1,0,1,0
0.3,0,26,12,7,8,5,3,0,2,0
0.3,0,27,10,6,4,3,1,0,3,0
0.3,0,28,7,2,7,5,2,0,3,0
0.3,0,29,4,3,9,5,1,0,1,1
0.3,0,30,5,4,11,9,2,0,0,1
0.3,0,31,8,6,6,4,1,0,1,0
0.3,0,32,1,3,9,7,1,0,0,3
0.3,0,33,10,5,5,5,5,0,0,0
0.3,0,34,10,7,9,7,1,0,2,0
0.3,0,35,11,8,4,3,3,0,0,0
0.3,0,36,9,7,5,4,1,0,1,0
0.3,0,37,8,6,8,4,1,0,1,0
0.3,0,38,8,6,6,5,1,0,1,0
0.3,0,39,10,4,8,6,3,0,3,0
0.3,0,40,12,7,7,5,3,0,2,0
0.3,0,41,4,3,13,11,1,0,0,0
0.3,0,42,9,4,8,5,3,0,2,0
0.3,0,43,12,9,6,3,1,0,2,0
0.3,0,44,5,2,15,10,1,0,3,1
0.3,0,45,4,3,9,5,0,0,1,0
0.3,0,46,11,6,6,5,2,0,3,0
0.3,0,47,5,4,8,6,2,0,1,2
0.3,0,48,7,5,4,2,1,0,2,1
0.3,0,49,5,5,5,5,0,0,0,0
0.3,0,50,11,6,10,8,3,0,2,0
0.3,0,51,5,5,5,5,1,0,0,1
0.3,0,52,10,7,8,3,2,0,1,0
0.3,0,53,9,4,6,3,1,0,4,0
0.3,0,54,8,7,3,3,1,0,0,0
0.3,0,55,5,3,8,7,2,0,1,1
0.3,0,56,5,4,4,4,1,0,1,1
0.3,0,57,4,3,7,5,2,0,1,2
0.3,0,58,2,3,6,4,0,0,0,1
0.3,0,59,7,4,13,6,1,0,2,0
0.3,0,60,3,3,9,5,1,0,1,2
0.3,0,61,11,7,8,5,4,0,0,0
0.3,0,62,7,5,5,3,1,0,1,0
0.3,0,63,6,4,6,6,0,0,2,0
0.3,0,64,4,4,8,5,0,0,1,1
0.3,0,65,11,7,6,5,4,0,0,0
0.3,0,66,7,6,8,3,0,0,1,0
0.3,0,67,8,5,7,6,3,0,0,0
0.3,0,68,5,4,9,8,0,0,1,0
0.3,0,69,5,6,5,3,1,0,0,2
0.3,0,70,8,5,7,5,1,0,2,0
0.3,0,71,7,4,3,2,1,0,2,0
0.3,0,72,10,9,11,9,0,0,1,0
0.3,0,73,11,6,10,5,1,0,4,0
0.3,0,74,5,3,13,5,2,0,1,1
0.3,0,75,6,3,10,8,4,0,0,1
0.3,0,76,10,7,11,7,1,0,2,0
0.3,0,77,9,8,16,13,0,0,1,0
0.3,0,78,10,7,6,3,1,0,2,0
0.3,0,79,10,6,5,3,1,0,3,0
0.3,0,80,0,4,9,8,0,0,0,4
0.3,0,81,6,6,7,8,0,0,0,0
0.3,0,82,11,9,3,2,1,0,1,0
0.3,0,83,0,1,8,7,0,0,0,1
0.3,0,84,8,7,9,3,1,0,0,0
0.3,0,85,8,3,7,3,4,0,2,1
0.3,0,86,0,3,4,3,0,0,0,3
0.3,0,87,4,4,6,7,0,0,1,1
0.3,0,88,3,1,2,2,2,0,0,0
0.3,0,89,4,4,14,14,1,0,2,3
0.3,0,90,10,6,5,4,3,0,1,0
0.3,0,91,10,4,18,12,3,0,3,0
0.3,0,92,8,6,7,7,1,0,1,0
0.3,0,93,6,6,8,6,0,0,0,0
0.3,0,94,8,5,5,3,2,0,2,1
0.3,0,95,10,4,8,5,3,0,3,0
0.3,0,96,5,2,9,8,2,0,1,0
0.3,0,97,10,6,6,4,3,0,1,0
0.3,0,98,5,5,8,5,0,0,1,1
0.3,0,99,10,8,9,5,2,0,0,0
0.3,0,100,6,2,5,3,3,0,1,0
0.3,0,101,9,9,7,7,0,0,0,0
0.3,0,102,13,6,12,9,5,0,2,0
0.3,0,103,9,5,10,7,4,0,0,0
0.3,0,104,5,4,10,8,0,0,2,1
0.3,0,105,4,1,3,3,1,0,2,0
0.3,0,106,1,5,7,4,1,1,0,4
0.3,0,107,9,5,5,4,3,0,1,0
0.3,0,108,7,5,5,4,0,0,2,0
0.3,0,109,8,6,8,7,0,0,2,0
0.3,0,110,6,4,7,4,3,0,0,1
0.3,0,111,7,4,3,4,2,0,1,0
0.3,0,112,11,8,7,6,1,0,2,0
0.3,0,113,6,1,6,4,1,0,4,0
0.3,0,114,7,3,4,3,1,0,3,0
0.3,0,115,5,4,6,5,1,0,0,0
0.3,0,116,5,2,16,10,2,0,1,0
0.3,0,117,4,4,7,6,0,0,0,0
0.3,0,118,6,5,4,5,1,0,1,1
0.3,0,119,5,5,5,4,1,0,0,1
0.3,0,120,2,3,5,4,0,1,0,0
0.3,0,121,9,7,8,4,1,0,1,0
0.3,0,122,10,6,7,7,3,0,1,0
0.3,0,123,10,6,3,2,0,0,4,0
0.3,0,124,7,5,7,4,2,0,0,0
0.3,0,125,4,3,8,6,0,0,1,0
0.3,0,126,4,3,7,6,0,0,1,0
0.3,0,127,3,3,4,2,2,0,1,3
0.3,0,128,11,7,7,6,2,0,2,0
0.3,0,129,11,6,4,1,2,0,3,0
0.3,0,130,10,5,7,5,3,0,2,0
0.3,0,131,9,9,7,3,0,0,0,0
0.3,0,132,12,8,9,7,2,0,2,0
0.3,0,133,4,2,7,6,1,0,1,0
0.3,0,134,8,6,5,5,2,0,0,0
0.3,0,135,11,8,7,4,2,0,1,0
0.3,0,136,10,8,5,3,1,0,1,0
0.3,0,137,4,4,8,6,0,0,1,1
0.3,0,138,6,6,6,4,0,0,0,0
0.3,0,139,6,5,7,5,0,0,1,0
0.3,0,140,7,4,4,1,2,0,1,0
0.3,0,141,8,5,7,6,0,0,3,0
0.3,0,142,0,2,12,10,0,0,0,2
0.3,0,143,2,2,7,3,0,0,0,0
0.3,0,144,6,4,2,3,1,0,1,0
0.3,0,145,6,5,6,5,0,0,1,0
0.3,0,146,6,4,6,4,1,0,1,0
0.3,0,147,9,6,7,5,1,0,2,0
0.3,0,148,10,5,4,3,2,0,3,0
0.3,0,149,12,11,8,7,1,0,0,0
0.3,0,150,10,7,5,4,0,0,3,0
0.3,0,151,2,4,2,3,1,0,1,4
0.3,0,152,2,3,7,4,0,0,0,1
0.3,0,153,6,4,9,10,2,0,2,2
0.3,0,154,4,4,6,4,1,0,0,1
0.3,0,155,13,7,5,2,4,0,2,0
0.3,0,156,4,5,5,3,1,0,0,2
0.3,0,157,11,7,9,7,2,0,2,0
0.3,0,158,10,7,9,5,1,0,2,0
0.3,0,159,8,5,11,9,1,0,2,0
0.3,0,160,10,7,8,4,1,0,2,0
0.3,0,161,7,6,7,6,1,0,0,0
0.3,0,162,6,5,3,2,0,0,1,0
0.3,0,163,5,2,4,4,0,0,3,0
0.3,0,164,2,3,6,4,0,0,1,2
0.3,0,165,7,6,7,7,0,0,1,0
0.3,0,166,9,8,6,5,1,0,0,0
0.3,0,167,2,3,6,7,1,0,1,3
0.3,0,168,7,6,5,3,1,0,0,0
0.3,0,169,5,3,2,2,2,0,0,0
0.3,0,170,2,3,2,1,2,0,0,3
0.3,0,171,7,5,4,2,2,0,1,1
0.3,0,172,7,5,9,7,1,0,1,0
0.3,0,173,10,7,5,4,1,0,2,0
0.3,0,174,3,3,4,5,2,0,1,3
0.3,0,175,8,4,5,4,3,0,1,0
0.3,0,176,5,4,5,4,0,0,1,0
0.3,0,177,3,2,7,6,1,0,0,0
0.3,0,178,0,3,7,3,0,0,0,3
0.3,0,179,8,6,7,3,1,0,1,0
0.3,0,180,10,6,9,4,3,0,1,0
0.3,0,181,10,6,10,9,2,0,2,0
0.3,0,182,7,6,9,6,1,0,0,0
0.3,0,183,5,3,5,4,2,0,0,0
0.3,0,184,10,6,9,6,2,0,2,0
0.3,0,185,10,3,11,11,3,0,4,0
0.3,0,186,5,5,5,3,0,0,0,0
0.3,0,187,6,3,4,1,2,0,1,0
0.3,0,188,7,7,9,6,0,0,0,0
0.3,0,189,11,8,6,1,2,0,1,0
0.3,0,190,9,4,6,4,2,0,3,0
0.3,0,191,5,5,12,7,1,0,0,1
0.3,0,192,5,4,7,3,3,0,1,3
0.3,0,193,5,3,7,5,0,0,2,0
0.3,0,194,7,6,5,4,0,0,1,0
0.3,0,195,9,5,7,5,1,0,3,0
0.3,0,196,7,5,11,7,2,0,0,0
0.3,0,197,10,6,1,1,4,0,0,0
0.3,0,198,9,7,8,6,2,0,0,0
0.3,0,199,4,5,7,6,0,0,0,1
0.3,1,0,11,9,9,4,1,0,1,0
0.3,1,1,1,1,7,5,1,0,0,1
0.3,1,2,7,4,6,1,2,0,1,0
0.3,1,3,8,5,4,3,2,0,2,1
0.3,1,4,2,3,3,2,0,0,1,2
0.3,1,5,7,5,7,3,1,0,1,0
0.3,1,6,11,8,10,9,3,0,0,0
0.3,1,7,6,3,13,7,3,0,1,1
0.3,1,8,7,4,5,6,0,0,3,0
0.3,1,9,6,4,12,7,2,0,0,0
0.3,1,10,6,5,6,6,1,0,0,0
0.3,1,11,7,5,4,1,1,0,2,1
0.3,1,12,12,8,9,7,3,0,1,0
0.3,1,13,6,3,6,2,3,0,0,0
0.3,1,14,10,7,6,5,0,0,3,0
0.3,1,15,9,6,8,6,1,0,2,0
0.3,1,16,6,4,10,3,1,0,1,0
0.3,1,17,8,6,9,6,1,0,1,0
0.3,1,18,10,5,8,5,3,0,2,0
0.3,1,19,13,6,6,3,2,0,5,0
0.3,1,20,11,8,7,6,1,0,2,0
0.3,1,21,6,4,8,5,2,0,0,0
0.3,1,22,6,4,14,11,1,0,1,0
0.3,1,23,8,8,8,6,0,0,0,0
0.3,1,24,9,6,5,2,1,0,2,0
0.3,1,25,12,9,12,8,2,0,1,0
0.3,1,26,12,9,7,5,1,0,2,0
0.3,1,27,6,4,9,5,2,0,0,0
0.3,1,28,7,3,9,8,1,0,3,0
0.3,1,29,2,2,3,2,2,0,0,2
0.3,1,30,12,9,7,5,3,0,1,1
0.3,1,31,5,4,6,5,1,0,0,0
0.3,1,32,7,6,5,4,0,0,1,0
0.3,1,33,6,6,4,2,0,0,0,0
0.3,1,34,8,7,11,8,0,0,1,0
0.3,1,35,0,2,8,6,0,0,0,2
0.3,1,36,12,10,5,4,0,0,2,0
0.3,1,37,2,3,6,5,0,1,0,0
0.3,1,38,10,8,3,3,1,0,1,0
0.3,1,39,7,6,9,7,0,0,1,0
0.3,1,40,2,3,4,2,0,0,1,2
0.3,1,41,7,4,6,2,0,0,3,0
0.3,1,42,5,4,7,7,1,0,0,0
0.3,1,43,6,6,9,5,0,0,0,0
0.3,1,44,8,6,8,6,1,0,1,0
0.3,1,45,9,6,8,6,2,0,2,1
0.3,1,46,11,7,9,7,1,0,3,0
0.3,1,47,4,3,9,6,2,0,0,1
0.3,1,48,11,7,5,3,2,0,2,0
0.3,1,49,5,4,12,9,1,0,0,0
0.3,1,50,4,2,11,4,1,0,1,0
0.3,1,51,8,6,5,4,0,0,2,0
0.3,1,52,13,9,4,4,2,0,2,0
0.3,1,53,3,3,5,5,1,0,0,1
0.3,1,54,8,6,7,4,1,0,1,0
0.3,1,55,3,3,10,8,0,0,0,0
0.3,1,56,10,8,9,4,0,0,2,0
0.3,1,57,7,3,8,3,4,0,0,0
0.3,1,58,10,4,4,2,3,0,3,0
0.3,1,59,1,3,6,3,1,0,0,3
0.3,1,60,8,3,10,9,1,0,4,0
0.3,1,61,11,7,9,5,0,0,4,0
0.3,1,62,7,3,8,6,3,0,1,0
0.3,1,63,6,1,14,9,4,0,1,0
0.3,1,64,6,5,8,5,2,0,0,1
0.3,1,65,8,5,8,7,2,0,1,0
0.3,1,66,9,5,8,7,1,0,3,0
0.3,1,67,5,1,7,6,2,0,3,1
0.3,1,68,6,6,7,6,0,0,0,0
0.3,1,69,2,3,7,4,0,0,0,1
0.3,1,70,13,8,5,5,4,0,1,0
0.3,1,71,8,6,7,4,1,0,1,0
0.3,1,72,2,2,5,5,0,0,1,1
0.3,1,73,7,2,5,5,2,0,3,0
0.3,1,74,9,6,10,5,1,0,2,0
0.3,1,75,4,4,9,7,0,0,0,0
0.3,1,76,8,4,3,3,3,0,1,0
0.3,1,77,13,8,12,7,0,0,5,0
0.3,1,78,4,4,12,6,0,0,1,1
0.3,1,79,3,4,4,3,1,0,0,2
0.3,1,80,7,4,8,6,3,0,0,0
0.3,1,81,15,10,4,3,1,0,4,0
0.3,1,82,7,7,7,5,0,0,0,0
0.3,1,83,2,2,9,9,2,0,0,2
0.3,1,84,2,2,3,0,0,0,1,1
0.3,1,85,6,2,5,2,2,0,2,0
0.3,1,86,7,2,9,6,2,0,3,0
0.3,1,87,9,4,7,7,2,0,3,0
0.3,1,88,4,1,3,3,1,0,2,0
0.3,1,89,6,4,5,4,2,0,1,1
0.3,1,90,8,6,6,5,2,0,0,0
0.3,1,91,4,2,11,6,0,0,2,0
0.3,1,92,9,9,10,7,0,0,0,0
0.3,1,93,7,6,3,0,1,0,0,0
0.3,1,94,11,7,2,2,3,0,1,0
0.3,1,95,9,8,6,4,0,0,1,0
0.3,1,96,7,2,1,1,1,0,4,0
0.3,1,97,6,5,6,4,0,0,1,0
0.3,1,98,7,6,7,6,1,0,0,0
0.3,1,99,12,10,9,8,1,0,1,0
0.3,1,100,8,6,4,3,2,0,0,0
0.3,1,101,3,4,8,6,1,0,0,2
0.3,1,102,6,4,11,6,1,0,1,0
0.3,1,103,6,5,11,3,0,0,1,0
0.3,1,104,7,6,11,8,1,0,1,1
0.3,1,105,12,9,2,2,0,0,3,0
0.3,1,106,1,1,7,5,0,0,0,0
0.3,1,107,6,4,13,9,3,0,0,1
0.3,1,108,7,5,9,7,2,0,1,1
0.3,1,109,17,11,6,6,5,0,1,0
0.3,1,110,9,6,5,3,1,0,2,0
0.3,1,111,5,3,9,8,3,0,0,1
0.3,1,112,4,3,2,1,2,0,0,1
0.3,1,113,2,2,10,4,2,0,0,2
0.3,1,114,7,4,6,4,1,0,2,0
0.3,1,115,7,6,5,5,1,0,0,0
0.3,1,116,3,4,6,3,1,0,0,2
0.3,1,117,8,4,5,3,1,0,3,0
0.3,1,118,7,3,3,2,3,0,2,1
0.3,1,119,12,7,10,10,2,0,4,1
0.3,1,120,4,2,7,6,1,0,1,0
0.3,1,121,3,4,5,1,1,0,0,2
0.3,1,122,10,8,4,4,1,0,1,0
0.3,1,123,4,3,8,6,1,0,1,1
0.3,1,124,9,5,11,10,2,0,2,0
0.3,1,125,10,6,7,5,2,0,2,0
0.3,1,126,9,2,6,4,2,0,5,0
0.3,1,127,16,13,3,2,2,0,1,0
0.3,1,128,6,4,6,5,0,0,2,0
0.3,1,129,11,6,9,6,1,0,4,0
0.3,1,130,9,7,9,6,1,0,1,0
0.3,1,131,8,5,6,5,1,0,3,1
0.3,1,132,8,4,5,3,3,0,1,0
0.3,1,133,11,5,6,4,4,0,2,0
0.3,1,134,14,10,4,5,1,0,3,0
0.3,1,135,6,3,9,8,2,0,1,0
0.3,1,136,8,6,9,7,1,0,1,0
0.3,1,137,5,2,6,4,2,0,1,0
0.3,1,138,2,2,8,5,0,0,0,0
0.3,1,139,13,7,8,7,4,0,2,0
0.3,1,140,9,2,13,7,3,0,4,0
0.3,1,141,8,5,6,4,1,0,2,0
0.3,1,142,6,5,13,8,0,0,1,0
0.3,1,143,4,3,12,10,1,0,1,1
0.3,1,144,6,4,7,2,0,0,2,0
0.3,1,145,8,7,14,8,1,0,0,0
0.3,1,146,5,4,9,5,1,0,0,0
0.3,1,147,6,4,2,3,1,0,1,0
0.3,1,148,11,8,4,2,2,0,1,0
0.3,1,149,7,4,7,4,1,0,2,0
0.3,1,150,8,6,6,5,2,0,0,0
0.3,1,151,6,4,8,2,1,0,1,0
0.3,1,152,10,7,6,2,0,0,3,0
0.3,1,153,11,9,4,2,2,0,0,0
0.3,1,154,4,3,11,8,1,0,0,0
0.3,1,155,4,2,8,4,0,0,2,0
0.3,1,156,5,4,9,6,1,0,1,1
0.3,1,157,2,2,6,4,2,0,0,2
0.3,1,158,4,2,9,5,2,0,0,0
0.3,1,159,10,6,7,2,2,0,2,0
0.3,1,160,0,5,5,4,0,0,0,5
0.3,1,161,5,5,1,1,0,0,1,1
0.3,1,162,5,4,9,9,0,0,1,0
0.3,1,163,10,7,9,6,1,0,2,0
0.3,1,164,5,5,5,3,0,0,0,0
0.3,1,165,1,3,6,4,1,1,0,2
0.3,1,166,10,6,6,4,4,0,0,0
0.3,1,167,6,3,6,7,4,0,0,1
0.3,1,168,4,2,8,6,1,0,1,0
0.3,1,169,10,5,10,6,2,0,3,0
0.3,1,170,11,8,6,3,2,0,1,0
0.3,1,171,3,2,4,3,1,0,0,0
0.3,1,172,12,8,10,6,3,0,1,0
0.3,1,173,10,7,4,3,2,0,1,0
0.3,1,174,8,8,10,5,0,0,0,0
0.3,1,175,7,5,9,6,2,0,1,1
0.3,1,176,5,5,10,7,0,0,0,0
0.3,1,177,12,5,7,8,5,0,2,0
0.3,1,178,10,5,7,7,1,0,5,1
0.3,1,179,8,5,8,6,2,0,1,0
0.3,1,180,7,7,8,7,0,0,0,0
0.3,1,181,6,2,4,3,3,0,1,0
0.3,1,182,6,6,11,7,0,0,0,0
0.3,1,183,6,5,7,5,1,0,0,0
0.3,1,184,3,3,12,6,0,0,0,0
0.3,1,185,4,3,1,2,2,0,0,1
0.3,1,186,5,3,6,7,2,0,0,0
0.3,1,187,10,7,7,6,0,0,3,0
0.3,1,188,13,9,6,6,2,0,2,0
0.3,1,189,10,7,7,3,2,0,1,0
0.3,1,190,4,2,6,4,1,0,1,0
0.3,1,191,8,6,7,6,1,0,2,1
0.3,1,192,11,7,9,5,3,0,1,0
0.3,1,193,17,10,4,4,3,0,4,0
0.3,1,194,11,9,8,7,1,0,1,0
0.3,1,195,2,5,2,1,1,0,0,4
0.3,1,196,5,2,10,5,1,0,2,0
0.3,1,197,4,3,10,9,1,0,2,2
0.3,1,198,2,2,7,6,0,0,0,0
0.3,1,199,7,5,9,9,1,0,1,0
0.3,2,0,10,4,3,1,4,0,2,0
0.3,2,1,7,4,9,5,1,0,2,0
0.3,2,2,1,4,5,2,1,0,0,4
0.3,2,3,6,4,6,5,2,0,1,1
0.3,2,4,7,3,7,5,3,0,1,0
0.3,2,5,6,6,6,6,0,0,1,1
0.3,2,6,4,3,8,7,0,0,3,2
0.3,2,7,6,4,4,4,1,0,2,1
0.3,2,8,2,2,3,2,0,0,1,1
0.3,2,9,10,7,7,3,0,0,3,0
0.3,2,10,8,6,7,6,2,0,0,0
0.3,2,11,7,5,7,5,2,0,0,0
0.3,2,12,9,7,7,4,1,0,1,0
0.3,2,13,5,2,7,5,3,0,0,0
0.3,2,14,10,8,7,4,2,0,0,0
0.3,2,15,2,3,12,5,0,0,0,1
0.3,2,16,6,4,9,7,1,0,1,0
0.3,2,17,0,4,5,4,0,0,0,4
0.3,2,18,8,6,9,5,0,0,2,0
0.3,2,19,14,9,6,5,3,0,2,0
0.3,2,20,11,9,4,3,1,0,1,0
0.3,2,21,7,3,8,6,1,0,4,1
0.3,2,22,4,3,11,5,1,0,0,0
0.3,2,23,6,5,9,7,2,0,0,1
0.3,2,24,5,4,5,3,1,0,0,0
0.3,2,25,2,4,8,5,0,0,0,2
0.3,2,26,7,4,7,6,3,0,1,1
0.3,2,27,5,4,5,3,1,0,0,0
0.3,2,28,5,4,7,4,1,0,0,0
0.3,2,29,8,5,6,4,0,0,3,0
0.3,2,30,3,4,2,2,0,0,2,3
0.3,2,31,10,9,6,9,1,0,0,0
0.3,2,32,10,6,7,6,1,0,3,0
0.3,2,33,9,6,2,3,1,0,2,0
0.3,2,34,8,6,7,7,1,0,1,0
0.3,2,35,5,2,10,7,2,0,1,0
0.3,2,36,10,7,7,6,2,0,1,0
0.3,2,37,5,3,7,4,0,0,2,0
0.3,2,38,5,4,5,6,5,0,0,4
0.3,2,39,8,3,8,7,1,0,5,1
0.3,2,40,10,8,4,2,2,0,0,0
0.3,2,41,3,3,4,4,0,0,0,0
0.3,2,42,12,8,7,4,4,0,0,0
0.3,2,43,11,7,12,9,3,0,1,0
0.3,2,44,6,5,8,2,0,0,1,0
0.3,2,45,7,4,5,6,2,0,1,0
0.3,2,46,6,6,10,7,0,0,0,0
0.3,2,47,9,5,7,6,1,0,3,0
0.3,2,48,7,6,6,5,1,0,0,0
0.3,2,49,3,1,8,6,3,0,0,1
0.3,2,50,0,3,4,4,0,0,0,3
0.3,2,51,6,2,8,5,2,0,3,1
0.3,2,52,6,5,9,6,2,0,1,2
0.3,2,53,3,5,3,2,1,0,1,4
0.3,2,54,10,9,8,5,1,0,0,0
0.3,2,55,10,7,4,2,1,0,2,0
0.3,2,56,9,6,9,9,1,0,2,0
0.3,2,57,5,3,2,1,2,0,0,0
0.3,2,58,6,5,10,10,1,0,0,0
0.3,2,59,7,6,7,6,0,0,1,0
0.3,2,60,11,9,9,4,1,0,1,0
0.3,2,61,2,2,8,7,0,0,0,0
0.3,2,62,13,8,5,3,4,0,1,0
0.3,2,63,11,7,1,2,3,0,1,0
0.3,2,64,2,2,4,3,0,0,0,0
0.3,2,65,9,4,5,3,2,0,3,0
0.3,2,66,0,1,6,4,0,0,0,1
0.3,2,67,0,3,2,0,0,0,0,3
0.3,2,68,7,4,7,4,0,0,3,0
0.3,2,69,3,5,5,4,1,0,0,3
0.3,2,70,2,1,7,4,0,0,1,0
0.3,2,71,4,3,9,9,2,0,2,3
0.3,2,72,3,2,7,6,3,0,0,2
0.3,2,73,8,6,5,5,2,0,0,0
0.3,2,74,3,3,7,5,1,0,1,2
0.3,2,75,11,8,5,3,1,0,2,0
0.3,2,76,9,4,4,4,2,0,3,0
0.3,2,77,9,7,7,5,0,0,2,0
0.3,2,78,7,6,5,4,1,0,1,1
0.3,2,79,2,3,4,4,0,0,0,1
0.3,2,80,8,5,10,9,3,0,0,0
0.3,2,81,8,5,9,7,1,0,2,0
0.3,2,82,11,7,9,8,3,0,1,0
0.3,2,83,6,2,2,1,1,0,3,0
0.3,2,84,0,2,5,3,0,0,0,2
0.3,2,85,6,5,9,9,0,0,1,0
0.3,2,86,2,3,10,8,0,0,1,2
0.3,2,87,6,5,9,7,2,0,0,1
0.3,2,88,7,5,4,2,1,0,1,0
0.3,2,89,7,4,5,4,2,0,1,0
0.3,2,90,1,3,10,9,1,0,0,3
0.3,2,91,7,3,9,4,2,0,2,0
0.3,2,92,10,7,11,9,1,0,2,0
0.3,2,93,9,6,4,6,3,0,0,0
0.3,2,94,6,6,10,9,1,0,0,1
0.3,2,95,3,2,2,3,0,0,1,0
0.3,2,96,0,2,5,4,0,1,0,1
0.3,2,97,6,3,7,4,2,0,1,0
0.3,2,98,2,6,12,8,1,0,1,6
0.3,2,99,7,6,7,4,1,0,0,0
0.3,2,100,9,4,3,1,2,0,3,0
0.3,2,101,7,6,12,6,0,0,1,0
0.3,2,102,6,4,9,6,1,0,1,0
0.3,2,103,3,3,6,3,1,0,0,1
0.3,2,104,5,5,5,4,0,0,0,0
0.3,2,105,12,8,11,8,2,0,2,0
0.3,2,106,8,5,4,4,1,0,2,0
0.3,2,107,12,10,8,7,0,0,2,0
0.3,2,108,9,5,9,7,3,0,1,0
0.3,2,109,8,5,5,2,2,0,1,0
0.3,2,110,7,4,5,5,3,0,0,0
0.3,2,111,6,4,11,7,1,0,1,0
0.3,2,112,7,7,5,4,0,0,0,0
0.3,2,113,6,2,4,4,3,0,1,0
0.3,2,114,7,3,9,5,3,0,2,1
0.3,2,115,2,3,5,4,0,0,0,1
0.3,2,116,9,7,7,7,0,0,2,0
0.3,2,117,3,4,9,5,1,0,0,2
0.3,2,118,5,4,8,6,0,0,2,1
0.3,2,119,6,4,11,7,1,0,1,0
0.3,2,120,8,5,4,3,2,0,1,0
0.3,2,121,2,3,7,3,0,0,1,2
0.3,2,122,9,5,4,4,2,0,2,0
0.3,2,123,5,1,4,3,2,0,2,0
0.3,2,124,8,4,9,11,4,0,1,1
0.3,2,125,8,5,7,4,3,0,0,0
0.3,2,126,4,4,4,4,0,0,0,0
0.3,2,127,3,3,6,2,1,0,1,2
0.3,2,128,8,4,5,3,1,0,3,0
0.3,2,129,12,10,13,12,0,0,2,0
0.3,2,130,7,4,8,7,2,0,1,0
0.3,2,131,4,3,4,3,0,0,1,0
0.3,2,132,7,6,5,4,0,0,1,0
0.3,2,133,8,5,3,1,1,0,2,0
0.3,2,134,9,7,4,2,0,0,3,1
0.3,2,135,8,5,7,4,2,0,1,0
0.3,2,136,3,2,3,6,1,0,2,2
0.3,2,137,8,4,5,3,3,0,1,0
0.3,2,138,5,5,8,5,0,0,1,1
0.3,2,139,6,6,8,6,0,0,0,0
0.3,2,140,12,9,6,2,1,0,2,0
0.3,2,141,8,6,7,5,2,0,0,0
0.3,2,142,4,4,10,6,0,0,0,0
0.3,2,143,2,3,6,7,0,0,1,2
0.3,2,144,14,8,4,4,3,0,3,0
0.3,2,145,7,6,8,5,1,0,0,0
0.3,2,146,7,4,2,3,3,0,0,0
0.3,2,147,3,4,8,5,1,0,0,2
0.3,2,148,10,8,5,3,2,0,0,0
0.3,2,149,5,5,10,5,0,0,0,0
0.3,2,150,4,4,9,7,0,0,0,0
0.3,2,151,5,2,5,4,3,0,0,0
0.3,2,152,17,10,3,2,4,0,3,0
0.3,2,153,9,8,2,2,1,0,0,0
0.3,2,154,6,5,7,6,1,0,1,1
0.3,2,155,4,3,8,6,1,0,0,0
0.3,2,156,8,5,4,4,1,0,2,0
0.3,2,157,5,4,13,13,1,0,0,0
0.3,2,158,3,3,8,5,1,0,0,1
0.3,2,159,6,2,8,4,2,0,2,0
0.3,2,160,11,8,8,4,1,0,2,0
0.3,2,161,13,8,7,7,3,0,2,0
0.3,2,162,16,12,12,7,3,0,1,0
0.3,2,163,4,3,5,5,1,0,1,1
0.3,2,164,7,2,11,8,1,0,4,0
0.3,2,165,9,6,9,7,2,0,1,0
0.3,2,166,5,4,7,6,2,0,1,2
0.3,2,167,9,9,6,6,0,0,0,0
0.3,2,168,5,4,9,3,1,0,0,0
0.3,2,169,8,8,9,6,0,0,0,0
0.3,2,170,11,8,6,4,1,0,2,0
0.3,2,171,7,5,8,7,2,0,0,0
0.3,2,172,12,9,6,4,1,0,2,0
0.3,2,173,5,3,6,4,1,0,2,1
0.3,2,174,3,3,16,7,1,0,0,1
0.3,2,175,12,9,12,8,0,0,3,0
0.3,2,176,10,8,6,4,0,0,2,0
0.3,2,177,13,9,10,11,2,0,2,0
0.3,2,178,11,9,8,4,1,0,1,0
0.3,2,179,8,6,7,5,2,0,0,0
