gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,0,0,5,5,4,4,3,0,1,4
0.5,0,1,7,7,0,0,0,0,0,0
0.5,0,2,5,5,4,3,1,0,0,1
0.5,0,3,4,4,10,9,0,0,0,0
0.5,0,4,1,1,7,2,1,0,0,1
0.5,0,5,6,6,4,4,2,0,0,2
0.5,0,6,4,4,6,6,2,1,0,1
0.5,0,7,4,5,3,4,3,3,1,2
0.5,0,8,8,8,4,4,0,0,0,0
0.5,0,9,2,2,6,5,2,0,0,2
0.5,0,10,2,2,2,4,1,0,1,2
0.5,0,11,2,2,8,6,1,0,1,2
0.5,0,12,6,6,4,4,2,1,1,2
0.5,0,13,3,3,13,11,0,0,0,0
0.5,0,14,6,6,6,7,0,0,0,0
0.5,0,15,7,7,2,7,1,0,3,4
0.5,0,16,7,7,12,6,0,0,0,0
0.5,0,17,5,5,2,3,0,0,0,0
0.5,0,18,5,5,6,6,0,1,1,0
0.5,0,19,6,6,3,3,1,1,0,0
0.5,0,20,10,10,4,3,0,0,0,0
0.5,0,21,3,3,6,7,1,0,1,2
0.5,0,22,4,4,6,6,0,0,0,0
0.5,0,23,3,3,8,8,1,0,0,1
0.5,0,24,6,6,6,8,2,3,2,1
0.5,0,25,8,8,7,8,1,1,0,0
0.5,0,26,1,1,4,3,0,0,1,1
0.5,0,27,4,5,6,6,0,0,1,2
0.5,0,28,2,2,4,6,1,0,0,1
0.5,0,29,8,8,5,4,0,0,1,1
0.5,0,30,3,3,6,7,1,0,1,2
0.5,0,31,7,7,10,10,1,0,0,1
0.5,0,32,4,4,3,5,2,0,1,3
0.5,0,33,4,4,4,5,0,0,0,0
0.5,0,34,2,2,3,5,1,1,1,1
0.5,0,35,2,2,4,5,2,0,0,2
0.5,0,36,7,7,6,8,0,0,2,2
0.5,0,37,11,11,6,6,0,0,0,0
0.5,0,38,8,8,7,4,0,0,0,0
0.5,0,39,7,7,9,7,0,0,0,0
0.5,0,40,4,4,1,4,2,0,0,2
0.5,0,41,6,6,3,3,0,0,0,0
0.5,0,42,5,5,7,5,3,0,2,5
0.5,0,43,6,6,5,4,0,0,0,0
0.5,0,44,5,5,3,6,0,0,1,1
0.5,0,45,5,5,4,12,3,0,0,3
0.5,0,46,9,9,5,5,1,1,0,0
0.5,0,47,7,7,3,3,0,0,0,0
0.5,0,48,6,6,2,1,1,1,2,2
0.5,0,49,6,6,2,5,4,3,1,2
0.5,0,50,3,5,4,7,2,0,1,5
0.5,0,51,6,6,3,8,1,0,1,2
0.5,0,52,7,7,9,7,0,0,0,0
0.5,0,53,3,4,6,7,2,2,1,2
0.5,0,54,4,4,3,4,1,0,1,2
0.5,0,55,4,4,2,1,1,1,0,0
0.5,0,56,6,6,5,4,0,0,0,0
0.5,0,57,3,3,2,4,2,1,0,1
0.5,0,58,6,6,5,2,2,1,1,2
0.5,0,59,6,6,4,10,3,0,1,4
0.5,0,60,3,3,5,4,1,0,2,3
0.5,0,61,9,9,6,9,1,0,0,1
0.5,0,62,6,7,7,5,3,0,0,4
0.5,0,63,3,3,7,5,2,1,1,2
0.5,0,64,8,8,5,9,4,1,0,3
0.5,0,65,4,4,3,7,0,0,1,1
0.5,0,66,5,5,5,6,0,0,1,1
0.5,0,67,5,5,5,8,2,0,1,3
0.5,0,68,8,8,5,3,0,0,0,0
0.5,0,69,6,6,1,3,1,1,2,2
0.5,0,70,5,5,7,5,0,0,0,0
0.5,0,71,6,6,4,5,1,0,0,1
0.5,0,72,8,9,8,5,3,3,2,3
0.5,0,73,2,2,6,4,1,0,1,2
0.5,0,74,5,5,5,6,3,3,0,0
0.5,0,75,7,7,4,5,0,0,0,0
0.5,0,76,4,4,6,6,1,1,0,0
0.5,0,77,7,7,2,8,2,1,3,4
0.5,0,78,4,4,4,4,0,0,0,0
0.5,0,79,4,4,9,7,2,0,0,2
0.5,0,80,4,4,2,0,0,0,0,0
0.5,0,81,4,4,6,2,1,1,0,0
0.5,0,82,7,7,9,2,0,0,0,0
0.5,0,83,7,7,5,4,0,0,0,0
0.5,0,84,6,6,4,4,2,1,2,3
0.5,0,85,3,3,8,6,2,2,1,1
0.5,0,86,4,4,3,7,4,3,0,1
0.5,0,87,8,8,7,7,0,0,0,0
0.5,0,88,4,4,2,3,3,0,0,3
0.5,0,89,4,4,1,4,1,1,1,1
0.5,0,90,5,5,3,5,3,1,1,3
0.5,0,91,8,8,4,5,0,0,0,0
0.5,0,92,6,6,1,2,1,0,0,1
0.5,0,93,5,5,5,6,0,0,0,0
0.5,0,94,1,1,5,4,1,1,0,0
0.5,0,95,4,4,0,3,2,1,1,2
0.5,0,96,4,4,0,1,3,1,0,2
0.5,0,97,3,3,1,5,2,1,0,1
0.5,0,98,7,7,11,5,0,0,0,0
0.5,0,99,4,4,11,12,0,0,0,0
0.5,0,100,5,5,10,7,0,0,0,0
0.5,0,101,4,4,6,2,0,0,1,1
0.5,0,102,3,3,6,7,2,0,0,2
0.5,0,103,5,5,3,3,3,2,1,2
0.5,0,104,6,6,4,4,1,1,0,0
0.5,0,105,8,8,7,7,0,0,0,0
0.5,0,106,6,6,4,8,2,1,1,2
0.5,0,107,3,3,5,5,1,2,2,1
0.5,0,108,7,7,5,4,0,0,0,0
0.5,0,109,9,9,3,8,3,0,0,3
0.5,0,110,3,3,6,3,3,2,0,1
0.5,0,111,9,9,0,0,4,1,2,5
0.5,0,112,7,7,2,0,2,0,1,3
0.5,0,113,4,4,3,7,4,1,0,3
0.5,0,114,6,6,7,5,2,1,1,2
0.5,0,115,3,3,2,3,2,0,0,2
0.5,0,116,4,4,3,3,2,1,0,1
0.5,0,117,4,4,6,4,2,2,2,2
0.5,0,118,8,8,1,2,2,1,1,2
0.5,0,119,5,5,5,6,2,1,0,1
0.5,0,120,4,4,3,4,3,0,0,3
0.5,0,121,2,2,3,5,0,0,0,0
0.5,0,122,3,3,2,3,2,0,0,2
0.5,0,123,4,4,4,4,1,0,1,2
0.5,0,124,3,3,11,11,0,1,1,0
0.5,0,125,8,8,6,6,0,0,0,0
0.5,0,126,2,3,4,6,1,1,1,2
0.5,0,127,6,6,12,5,0,0,0,0
0.5,0,128,3,3,3,2,2,0,1,3
0.5,0,129,8,8,5,7,1,0,0,1
0.5,0,130,3,3,3,3,1,0,0,1
0.5,0,131,4,4,3,5,2,0,1,3
0.5,0,132,2,2,7,8,2,0,0,2
0.5,0,133,7,7,7,4,0,0,0,0
0.5,0,134,5,5,4,2,2,0,0,2
0.5,0,135,5,5,8,5,1,2,1,0
0.5,0,136,2,2,4,4,2,1,0,1
0.5,0,137,2,2,5,6,0,0,0,0
0.5,0,138,4,4,6,10,2,1,0,1
0.5,0,139,2,2,6,3,1,2,1,0
0.5,0,140,8,8,4,4,0,0,0,0
0.5,0,141,4,4,2,4,1,1,2,2
0.5,0,142,5,5,6,4,5,1,0,4
0.5,0,143,2,2,5,3,1,0,0,1
0.5,0,144,8,8,3,6,4,1,2,5
0.5,0,145,7,7,8,3,0,0,0,0
0.5,0,146,5,5,5,6,2,4,2,0
0.5,0,147,8,8,2,3,6,1,0,5
0.5,0,148,2,2,7,6,0,0,0,0
0.5,0,149,6,7,7,5,2,0,2,5
0.5,0,150,5,5,5,4,3,2,1,2
0.5,0,151,3,3,11,9,1,2,1,0
0.5,0,152,7,7,4,4,3,0,1,4
0.5,0,153,4,4,4,4,3,1,0,2
0.5,0,154,3,3,7,9,1,2,2,1
0.5,0,155,6,6,5,6,3,0,0,3
0.5,0,156,5,5,5,7,2,1,1,2
0.5,0,157,3,3,2,3,3,1,0,2
0.5,0,158,5,5,10,7,1,0,0,1
0.5,0,159,6,6,4,3,0,0,0,0
0.5,0,160,4,4,10,7,0,0,1,1
0.5,0,161,6,6,6,3,3,3,1,1
0.5,0,162,3,3,4,3,1,0,2,3
0.5,0,163,7,7,6,3,0,0,0,0
0.5,0,164,4,5,2,4,3,0,0,4
0.5,0,165,4,4,10,5,1,1,1,1
0.5,0,166,4,4,1,2,2,0,1,3
0.5,0,167,6,6,13,5,1,1,0,0
0.5,0,168,7,7,2,2,0,0,1,1
0.5,0,169,1,1,3,7,1,0,0,1
0.5,0,170,5,5,5,8,2,2,1,1
0.5,0,171,1,1,6,4,1,1,0,0
0.5,0,172,7,7,7,7,0,0,0,0
0.5,0,173,4,4,1,1,3,1,0,2
0.5,0,174,5,5,6,5,0,0,0,0
0.5,0,175,4,4,6,4,0,0,0,0
0.5,0,176,3,3,0,2,0,0,1,1
0.5,0,177,3,3,8,6,0,0,0,0
0.5,0,178,10,10,2,5,2,0,2,4
0.5,0,179,4,4,7,6,0,0,0,0
0.5,0,180,3,3,8,5,2,1,1,2
0.5,0,181,5,5,4,4,0,0,0,0
0.5,0,182,3,3,4,6,2,1,1,2
0.5,0,183,5,5,3,2,0,0,0,0
0.5,0,184,6,6,3,9,0,0,0,0
0.5,0,185,4,4,3,4,1,1,1,1
0.5,0,186,7,7,5,5,2,1,0,1
0.5,0,187,4,4,3,2,0,0,0,0
0.5,0,188,1,1,4,3,0,0,0,0
0.5,0,189,7,7,8,3,0,0,0,0
0.5,0,190,5,5,3,9,4,2,0,2
0.5,0,191,5,5,6,3,0,0,0,0
0.5,0,192,3,3,6,6,0,0,0,0
0.5,0,193,5,5,7,7,1,1,0,0
0.5,0,194,6,6,2,4,3,0,0,3
0.5,0,195,4,4,3,4,3,2,1,2
0.5,0,196,6,6,8,7,3,1,1,3
0.5,0,197,1,1,2,1,1,1,0,0
0.5,0,198,7,7,8,8,0,0,1,1
0.5,0,199,7,8,4,6,3,3,1,2
0.5,1,0,5,5,8,3,1,1,0,0
0.5,1,1,4,4,5,6,3,0,0,3
0.5,1,2,4,4,4,2,1,2,1,0
0.5,1,3,3,3,7,5,1,0,1,2
0.5,1,4,4,5,4,5,2,2,1,2
0.5,1,5,10,10,3,0,1,0,1,2
0.5,1,6,8,10,2,2,5,2,0,5
0.5,1,7,6,6,3,2,4,2,0,2
0.5,1,8,6,6,2,2,3,0,1,4
0.5,1,9,6,6,8,5,0,0,0,0
0.5,1,10,2,2,6,6,1,1,1,1
0.5,1,11,4,4,9,7,3,0,1,4
0.5,1,12,7,7,8,7,1,1,0,0
0.5,1,13,4,4,4,8,2,0,0,2
0.5,1,14,3,3,4,4,2,2,0,0
0.5,1,15,4,5,5,6,1,1,1,2
0.5,1,16,4,4,2,4,2,1,0,1
0.5,1,17,4,4,3,3,1,0,0,1
0.5,1,18,5,5,2,4,0,0,0,0
0.5,1,19,3,3,4,1,2,1,0,1
0.5,1,20,7,7,3,5,0,1,1,0
0.5,1,21,8,8,0,4,8,1,0,7
0.5,1,22,2,2,4,4,1,0,0,1
0.5,1,23,7,8,4,5,4,2,0,3
0.5,1,24,6,6,11,9,0,0,0,0
0.5,1,25,7,7,6,2,3,3,0,0
0.5,1,26,4,4,6,5,1,1,0,0
0.5,1,27,4,4,4,2,0,0,0,0
0.5,1,28,2,2,5,9,2,0,0,2
0.5,1,29,3,3,6,4,0,0,0,0
0.5,1,30,3,3,6,8,3,1,0,2
0.5,1,31,5,5,5,5,0,0,0,0
0.5,1,32,10,10,8,6,0,0,0,0
0.5,1,33,5,5,1,3,3,0,0,3
0.5,1,34,7,7,3,5,1,0,0,1
0.5,1,35,6,6,4,4,1,1,1,1
0.5,1,36,4,4,4,2,2,2,0,0
0.5,1,37,4,4,4,5,4,2,0,2
0.5,1,38,6,6,4,7,3,1,1,3
0.5,1,39,6,6,7,7,0,0,0,0
0.5,1,40,7,7,3,3,5,2,1,4
0.5,1,41,4,4,9,8,1,1,0,0
0.5,1,42,5,5,1,6,1,0,1,2
0.5,1,43,6,7,5,4,4,1,1,5
0.5,1,44,2,2,6,7,2,0,0,2
0.5,1,45,7,7,8,4,2,1,0,1
0.5,1,46,8,8,3,6,0,1,3,2
0.5,1,47,4,4,2,4,1,1,1,1
0.5,1,48,4,4,9,8,1,1,2,2
0.5,1,49,7,7,5,4,0,0,0,0
0.5,1,50,5,5,9,7,0,0,0,0
0.5,1,51,4,5,6,4,2,3,1,1
0.5,1,52,4,4,3,5,3,1,0,2
0.5,1,53,6,6,4,7,0,0,1,1
0.5,1,54,5,5,8,6,3,2,2,3
0.5,1,55,5,5,5,5,0,0,0,0
0.5,1,56,2,2,8,3,1,1,1,1
0.5,1,57,3,3,7,4,1,1,1,1
0.5,1,58,14,14,2,3,1,1,0,0
0.5,1,59,4,4,3,9,3,1,0,2
0.5,1,60,4,4,1,3,2,0,0,2
0.5,1,61,4,4,4,3,1,1,0,0
0.5,1,62,1,1,2,7,0,0,0,0
0.5,1,63,3,3,5,4,0,0,1,1
0.5,1,64,7,7,7,5,1,1,1,1
0.5,1,65,6,6,5,6,2,0,0,2
0.5,1,66,4,4,2,3,3,2,1,2
0.5,1,67,5,5,8,7,0,0,0,0
0.5,1,68,6,6,5,3,0,0,0,0
0.5,1,69,1,2,4,5,1,0,0,2
0.5,1,70,6,6,7,4,0,0,0,0
0.5,1,71,11,11,8,6,0,0,0,0
0.5,1,72,3,3,4,3,3,1,0,2
0.5,1,73,4,4,5,4,2,2,1,1
0.5,1,74,6,6,7,6,0,0,0,0
0.5,1,75,8,8,4,8,0,1,2,1
0.5,1,76,4,4,5,2,2,0,0,2
0.5,1,77,8,8,4,2,0,0,0,0
0.5,1,78,7,7,9,7,0,0,0,0
0.5,1,79,7,7,9,7,0,0,1,1
0.5,1,80,3,3,4,3,1,1,1,1
0.5,1,81,4,4,4,5,4,3,0,1
0.5,1,82,3,3,10,5,0,1,3,2
0.5,1,83,5,5,4,3,0,0,0,0
0.5,1,84,5,5,9,3,0,0,1,1
0.5,1,85,7,7,8,6,0,1,1,0
0.5,1,86,6,6,11,5,1,0,0,1
0.5,1,87,2,2,10,9,2,1,0,1
0.5,1,88,6,6,2,6,2,0,2,4
0.5,1,89,1,1,3,4,1,0,0,1
0.5,1,90,3,3,1,6,0,0,2,2
0.5,1,91,6,6,4,3,2,1,1,2
0.5,1,92,5,5,8,4,1,2,3,2
0.5,1,93,5,5,3,8,0,0,0,0
0.5,1,94,6,6,3,5,3,0,0,3
0.5,1,95,4,4,14,10,0,1,1,0
0.5,1,96,8,9,2,7,3,1,1,4
0.5,1,97,2,2,9,8,1,0,0,1
0.5,1,98,7,7,1,4,1,2,2,1
0.5,1,99,2,2,4,9,1,0,0,1
0.5,1,100,6,6,2,4,1,0,0,1
0.5,1,101,6,6,4,7,0,0,0,0
0.5,1,102,5,5,5,6,2,0,0,2
0.5,1,103,3,3,4,8,1,0,0,1
0.5,1,104,6,6,10,9,3,1,1,3
0.5,1,105,3,3,4,6,2,0,0,2
0.5,1,106,8,8,10,9,2,1,2,3
0.5,1,107,3,4,3,3,2,1,1,3
0.5,1,108,3,3,8,4,1,1,2,2
0.5,1,109,4,4,1,6,2,0,0,2
0.5,1,110,3,3,8,7,0,0,0,0
0.5,1,111,1,1,4,9,1,0,0,1
0.5,1,112,8,8,1,2,1,0,0,1
0.5,1,113,3,3,6,4,2,1,1,2
0.5,1,114,5,5,4,6,2,0,2,4
0.5,1,115,4,4,2,5,3,1,1,3
0.5,1,116,5,5,3,4,0,0,0,0
0.5,1,117,6,6,6,7,0,0,0,0
0.5,1,118,4,4,3,4,0,0,1,1
0.5,1,119,1,1,11,7,1,1,0,0
0.5,1,120,6,6,7,9,2,0,1,3
0.5,1,121,5,6,2,5,1,0,0,2
0.5,1,122,3,3,5,7,1,0,0,1
0.5,1,123,4,4,5,3,1,1,0,0
0.5,1,124,2,2,5,8,1,0,0,1
0.5,1,125,4,4,2,3,2,1,0,1
0.5,1,126,5,5,7,5,1,1,0,0
0.5,1,127,8,9,1,5,3,0,0,4
0.5,1,128,3,5,2,2,2,1,0,3
0.5,1,129,4,5,0,3,2,2,1,2
0.5,1,130,3,3,8,2,2,0,1,3
0.5,1,131,4,4,7,5,2,1,0,1
0.5,1,132,5,5,6,9,1,2,1,0
0.5,1,133,1,1,2,4,1,1,0,0
0.5,1,134,4,4,7,8,1,0,1,2
0.5,1,135,8,8,3,7,3,0,0,3
0.5,1,136,3,3,5,4,1,0,1,2
0.5,1,137,11,11,4,6,0,0,0,0
0.5,1,138,4,4,3,2,2,1,2,3
0.5,1,139,6,6,6,5,1,1,0,0
0.5,1,140,4,4,3,3,4,2,0,2
0.5,1,141,7,7,4,2,0,0,0,0
0.5,1,142,1,1,4,6,1,0,0,1
0.5,1,143,4,4,8,6,0,0,0,0
0.5,1,144,4,4,2,5,0,0,0,0
0.5,1,145,1,1,5,6,1,0,0,1
0.5,1,146,4,4,6,5,4,2,0,2
0.5,1,147,5,5,12,8,0,0,1,1
0.5,1,148,1,1,4,5,1,0,0,1
0.5,1,149,2,2,6,2,1,1,1,1
0.5,1,150,3,4,3,2,1,1,0,1
0.5,1,151,5,5,12,9,0,1,2,1
0.5,1,152,3,3,0,2,2,0,1,3
0.5,1,153,4,4,1,3,1,0,0,1
0.5,1,154,7,7,5,6,1,2,2,1
0.5,1,155,5,5,5,7,3,1,0,2
0.5,1,156,7,7,7,6,0,0,0,0
0.5,1,157,6,6,2,4,3,1,3,5
0.5,1,158,5,5,8,6,0,0,0,0
0.5,1,159,4,4,2,0,1,1,2,2
0.5,1,160,5,5,4,5,4,1,0,3
0.5,1,161,5,5,5,8,0,1,4,3
0.5,1,162,2,2,6,10,1,0,0,1
0.5,1,163,5,5,4,3,2,0,1,3
0.5,1,164,5,5,5,7,3,2,0,1
0.5,1,165,7,7,4,3,1,1,0,0
0.5,1,166,4,4,1,2,1,0,0,1
0.5,1,167,6,6,4,4,2,1,3,4
0.5,1,168,6,6,4,4,0,0,0,0
0.5,1,169,3,3,4,7,1,0,1,2
0.5,1,170,5,7,1,5,3,1,0,4
0.5,1,171,5,5,11,8,2,1,1,2
0.5,1,172,4,4,3,3,1,0,0,1
0.5,1,173,7,7,3,3,4,1,1,4
0.5,1,174,2,2,5,3,2,1,0,1
0.5,1,175,5,5,5,3,0,1,3,2
0.5,1,176,2,3,9,6,1,2,1,1
0.5,1,177,7,7,2,3,2,1,0,1
0.5,1,178,3,3,10,7,2,0,0,2
0.5,1,179,7,7,10,6,1,1,0,0
0.5,1,180,6,6,6,5,1,0,1,2
0.5,1,181,6,6,8,5,0,1,1,0
0.5,1,182,4,5,2,5,3,2,1,3
0.5,1,183,5,5,4,2,0,0,0,0
0.5,1,184,7,7,5,4,4,1,3,6
0.5,1,185,5,5,3,2,0,0,1,1
0.5,1,186,4,4,6,6,2,2,2,2
0.5,1,187,5,5,6,7,3,0,2,5
0.5,1,188,7,8,4,4,3,2,1,3
0.5,1,189,4,4,0,5,4,3,0,1
0.5,1,190,12,12,3,4,0,0,0,0
0.5,1,191,8,8,4,6,5,2,0,3
0.5,1,192,7,8,7,9,3,0,1,5
0.5,1,193,7,7,2,3,0,0,0,0
0.5,1,194,2,2,5,4,2,2,0,0
0.5,1,195,5,6,0,2,3,1,1,4
0.5,1,196,9,9,3,5,2,2,2,2
0.5,1,197,2,2,3,3,1,0,1,2
0.5,1,198,8,8,4,4,0,0,1,1
0.5,1,199,4,4,4,5,1,1,1,1
0.5,2,0,5,5,8,7,4,1,0,3
0.5,2,1,5,5,7,7,1,1,1,1
0.5,2,2,6,7,4,4,2,0,1,4
0.5,2,3,4,4,10,9,0,1,1,0
0.5,2,4,6,6,5,5,5,3,1,3
0.5,2,5,7,7,6,5,1,0,0,1
0.5,2,6,7,7,4,5,3,1,1,3
0.5,2,7,3,3,11,8,0,0,0,0
0.5,2,8,5,5,5,7,1,0,1,2
0.5,2,9,8,8,7,5,1,1,0,0
0.5,2,10,9,9,6,7,1,0,0,1
0.5,2,11,4,4,4,4,0,0,0,0
0.5,2,12,5,5,4,8,3,0,0,3
0.5,2,13,6,6,6,3,0,0,0,0
0.5,2,14,9,9,3,3,0,0,0,0
0.5,2,15,4,5,5,7,3,2,0,2
0.5,2,16,4,4,2,5,0,0,0,0
0.5,2,17,1,1,5,3,1,1,0,0
0.5,2,18,6,6,5,7,1,0,0,1
0.5,2,19,3,3,10,8,1,2,1,0
0.5,2,20,4,4,9,7,0,0,0,0
0.5,2,21,7,7,4,4,1,0,1,2
0.5,2,22,5,5,2,3,1,0,2,3
0.5,2,23,6,6,4,8,1,1,1,1
0.5,2,24,7,7,9,8,2,0,0,2
0.5,2,25,8,8,8,4,0,0,0,0
0.5,2,26,5,6,0,1,4,1,0,4
0.5,2,27,5,5,1,4,2,1,0,1
0.5,2,28,3,3,3,2,0,0,0,0
0.5,2,29,5,5,1,4,3,1,1,3
0.5,2,30,2,2,7,4,0,0,0,0
0.5,2,31,6,6,3,3,0,0,0,0
0.5,2,32,6,6,11,7,2,1,2,3
0.5,2,33,5,5,6,4,2,1,0,1
0.5,2,34,5,5,7,6,0,0,0,0
0.5,2,35,7,7,6,4,0,0,0,0
0.5,2,36,7,7,7,5,2,0,1,3
0.5,2,37,6,7,2,6,4,1,0,4
0.5,2,38,3,3,2,6,2,0,0,2
0.5,2,39,2,2,4,7,1,1,0,0
0.5,2,40,2,2,6,7,1,0,1,2
0.5,2,41,5,5,3,1,0,0,0,0
0.5,2,42,3,3,0,5,2,0,0,2
0.5,2,43,1,1,3,6,1,0,0,1
0.5,2,44,3,3,6,7,2,0,0,2
0.5,2,45,5,5,4,3,5,2,0,3
0.5,2,46,5,5,2,9,3,3,2,2
0.5,2,47,7,7,7,6,0,1,2,1
0.5,2,48,7,7,8,8,0,0,0,0
0.5,2,49,6,6,5,6,0,0,0,0
0.5,2,50,6,6,7,5,0,0,0,0
0.5,2,51,2,2,3,8,1,1,0,0
0.5,2,52,7,7,4,3,0,0,0,0
0.5,2,53,3,3,3,3,3,0,0,3
0.5,2,54,2,2,3,1,2,1,0,1
0.5,2,55,6,6,5,6,2,1,1,2
0.5,2,56,1,1,5,5,1,0,0,1
0.5,2,57,7,7,12,11,0,1,1,0
0.5,2,58,8,8,8,5,0,0,1,1
0.5,2,59,10,10,2,2,5,0,1,6
0.5,2,60,1,1,6,3,1,0,0,1
0.5,2,61,5,5,6,8,0,0,1,1
0.5,2,62,5,5,4,4,3,2,1,2
0.5,2,63,6,6,6,7,0,0,0,0
0.5,2,64,8,8,11,5,0,0,0,0
0.5,2,65,4,4,4,8,3,2,0,1
0.5,2,66,1,1,4,1,1,0,0,1
0.5,2,67,5,5,2,2,3,1,1,3
0.5,2,68,5,5,5,4,1,3,3,1
0.5,2,69,6,6,4,5,1,0,0,1
0.5,2,70,6,6,5,7,3,2,1,2
0.5,2,71,3,3,7,4,1,0,1,2
0.5,2,72,4,4,8,6,2,1,0,1
0.5,2,73,7,7,1,2,4,1,2,5
0.5,2,74,6,6,7,5,0,1,4,3
0.5,2,75,11,11,3,2,2,1,2,3
0.5,2,76,7,7,7,3,1,1,0,0
0.5,2,77,7,7,3,3,5,2,1,4
0.5,2,78,2,2,7,7,0,0,0,0
0.5,2,79,7,7,2,3,1,0,0,1
0.5,2,80,6,6,7,5,0,0,0,0
0.5,2,81,7,7,6,6,1,0,0,1
0.5,2,82,5,5,2,4,2,1,1,2
0.5,2,83,3,3,10,3,2,0,0,2
0.5,2,84,7,7,2,4,3,3,2,2
0.5,2,85,7,7,5,4,0,0,0,0
0.5,2,86,3,3,2,4,2,0,0,2
0.5,2,87,3,3,2,5,2,0,0,2
0.5,2,88,2,2,4,8,2,1,0,1
0.5,2,89,6,6,0,4,3,1,1,3
0.5,2,90,8,8,5,9,5,2,0,3
0.5,2,91,7,7,6,5,0,0,0,0
0.5,2,92,8,8,4,3,0,0,2,2
0.5,2,93,3,3,5,5,2,3,1,0
0.5,2,94,3,3,9,9,0,0,0,0
0.5,2,95,2,2,1,2,0,0,0,0
0.5,2,96,5,5,6,3,0,0,0,0
0.5,2,97,4,4,6,6,1,0,0,1
0.5,2,98,1,1,1,1,0,0,0,0
0.5,2,99,3,3,5,3,1,1,1,1
0.5,2,100,4,4,9,8,0,1,2,1
0.5,2,101,9,9,3,6,6,0,0,6
0.5,2,102,2,2,5,8,0,0,0,0
0.5,2,103,4,4,8,7,0,1,1,0
0.5,2,104,3,5,4,6,0,1,0,1
0.5,2,105,6,6,8,5,0,0,0,0
0.5,2,106,4,4,6,6,0,0,0,0
0.5,2,107,10,10,8,4,3,3,3,3
0.5,2,108,6,6,3,5,3,1,1,3
0.5,2,109,4,4,6,5,2,1,2,3
0.5,2,110,6,6,3,2,1,0,1,2
0.5,2,111,2,2,3,3,1,0,1,2
0.5,2,112,9,9,3,6,4,1,0,3
0.5,2,113,7,7,7,5,0,0,0,0
0.5,2,114,6,6,10,5,0,0,0,0
0.5,2,115,9,9,2,6,0,0,0,0
0.5,2,116,7,7,12,8,1,0,0,1
0.5,2,117,5,5,5,6,4,3,0,1
0.5,2,118,5,5,2,3,1,0,0,1
0.5,2,119,5,5,10,4,0,0,0,0
0.5,2,120,7,7,8,7,2,1,1,2
0.5,2,121,1,1,2,4,1,0,0,1
0.5,2,122,7,7,6,6,0,0,0,0
0.5,2,123,5,5,4,9,4,2,1,3
0.5,2,124,4,4,3,1,2,2,1,1
0.5,2,125,3,3,2,3,2,2,1,1
0.5,2,126,5,5,6,5,4,0,0,4
0.5,2,127,9,9,5,5,0,0,0,0
0.5,2,128,1,1,5,2,1,0,0,1
0.5,2,129,6,8,3,6,5,2,0,5
0.5,2,130,5,5,4,8,2,0,0,2
0.5,2,131,12,12,5,4,0,0,2,2
0.5,2,132,2,2,13,8,2,2,0,0
0.5,2,133,4,4,3,5,1,1,1,1
0.5,2,134,7,7,2,4,1,0,0,1
0.5,2,135,5,6,7,7,1,2,0,0
0.5,2,136,4,4,3,4,3,2,1,2
0.5,2,137,7,7,3,2,0,0,1,1
0.5,2,138,7,7,12,5,0,0,1,1
0.5,2,139,1,1,4,4,0,0,0,0
0.5,2,140,2,3,3,5,2,1,0,2
0.5,2,141,4,5,6,7,1,1,0,1
0.5,2,142,4,4,3,4,2,1,0,1
0.5,2,143,2,2,8,5,1,2,1,0
0.5,2,144,5,5,4,6,2,2,0,0
0.5,2,145,2,2,6,5,1,2,1,0
0.5,2,146,3,3,4,6,3,1,0,2
0.5,2,147,1,1,3,5,1,1,0,0
0.5,2,148,2,3,3,7,2,1,0,2
0.5,2,149,7,7,2,3,1,0,0,1
0.5,2,150,5,5,4,3,0,0,0,0
0.5,2,151,3,3,8,9,1,1,0,0
0.5,2,152,6,6,9,4,0,0,0,0
0.5,2,153,9,9,2,3,0,0,0,0
0.5,2,154,1,1,4,4,1,0,0,1
0.5,2,155,4,4,7,4,0,0,0,0
0.5,2,156,4,4,8,10,2,2,1,1
0.5,2,157,3,3,6,6,3,2,0,1
0.5,2,158,3,4,6,6,1,1,1,2
0.5,2,159,2,2,3,3,1,1,0,0
0.5,2,160,8,8,4,8,0,0,0,0
0.5,2,161,6,7,3,5,3,2,1,3
0.5,2,162,1,1,4,5,1,0,0,1
0.5,2,163,2,2,1,7,2,1,0,1
0.5,2,164,2,2,5,7,1,1,1,1
0.5,2,165,3,3,2,5,0,0,0,0
0.5,2,166,4,4,1,6,2,0,1,3
0.5,2,167,2,2,6,3,1,2,1,0
0.5,2,168,3,3,1,5,3,1,0,2
0.5,2,169,3,3,6,6,0,1,3,2
0.5,2,170,3,4,6,5,2,1,0,2
0.5,2,171,6,6,9,3,1,0,1,2
0.5,2,172,2,2,4,7,2,1,0,1
0.5,2,173,2,2,3,3,2,1,0,1
0.5,2,174,5,5,2,2,3,1,0,2
0.5,2,175,2,2,3,3,1,0,0,1
0.5,2,176,7,7,2,2,6,0,0,6
0.5,2,177,3,3,5,3,1,0,0,1
0.5,2,178,7,7,7,5,0,0,1,1
0.5,2,179,5,6,2,5,1,0,0,2
